Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2000,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,,58.9
2005,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,,56.7
2011,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,,44.9
2014,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,,39.1
2017,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,,38.2
2024,Proportion of population living below the national poverty line [1.2.1],,,,,Percent,,27.4
2014,Proportion of population living below the national poverty line [1.2.1],,Male,16 years old and over,,Percent,,33.2
2017,Proportion of population living below the national poverty line [1.2.1],,Male,16 years old and over,,Percent,,31.6
2024,Proportion of population living below the national poverty line [1.2.1],,Male,16 years old and over,,Percent,,24.9
2014,Proportion of population living below the national poverty line [1.2.1],,Female,16 years old and over,,Percent,,35.9
2017,Proportion of population living below the national poverty line [1.2.1],,Female,16 years old and over,,Percent,,34.8
2024,Proportion of population living below the national poverty line [1.2.1],,Female,16 years old and over,,Percent,,25.4
2014,Proportion of population living below the national poverty line [1.2.1],,Male,under 15 years old,,Percent,,44.7
2017,Proportion of population living below the national poverty line [1.2.1],,Male,under 15 years old,,Percent,,44.2
2024,Proportion of population living below the national poverty line [1.2.1],,Male,under 15 years old,,Percent,,31.0
2014,Proportion of population living below the national poverty line [1.2.1],,Female,under 15 years old,,Percent,,44.6
2017,Proportion of population living below the national poverty line [1.2.1],,Female,under 15 years old,,Percent,,44.8
2024,Proportion of population living below the national poverty line [1.2.1],,Female,under 15 years old,,Percent,,29.9
2005,Proportion of population living below the national poverty line [1.2.1],,,,Urban,Percent,,28.5
2011,Proportion of population living below the national poverty line [1.2.1],,,,Urban,Percent,,22.1
2014,Proportion of population living below the national poverty line [1.2.1],,,,Urban,Percent,,15.9
2017,Proportion of population living below the national poverty line [1.2.1],,,,Urban,Percent,,15.8
2024,Proportion of population living below the national poverty line [1.2.1],,,,Urban,Percent,,16.7
2005,Proportion of population living below the national poverty line [1.2.1],,,,Rural,Percent,,61.9
2011,Proportion of population living below the national poverty line [1.2.1],,,,Rural,Percent,,48.7
2014,Proportion of population living below the national poverty line [1.2.1],,,,Rural,Percent,,43.7
2017,Proportion of population living below the national poverty line [1.2.1],,,,Rural,Percent,,43.1
2024,Proportion of population living below the national poverty line [1.2.1],,,,Rural,Percent,,31.6
2000,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,1,22.7
2005,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,1,20.8
2011,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,1,16.8
2014,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,1,20.9
2017,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,1,13.9
2024,Proportion of population living below the national poverty line [1.2.1],City of Kigali,,,,Percent,1,9.1
2000,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,2,65.5
2005,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,2,66.7
2011,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,2,56.5
2014,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,2,38.4
2017,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,2,41.4
2024,Proportion of population living below the national poverty line [1.2.1],Southern Province,,,,Percent,2,34.7
2000,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,3,62.3
2005,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,3,60.4
2011,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,3,48.4
2014,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,3,45.2
2017,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,3,47.1
2024,Proportion of population living below the national poverty line [1.2.1],Western Province,,,,Percent,3,37.4
2000,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,4,64.2
2005,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,4,60.5
2011,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,4,42.8
2014,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,4,45.9
2017,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,4,42.3
2024,Proportion of population living below the national poverty line [1.2.1],Northern Province,,,,Percent,4,20.2
2000,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,5,59.3
2005,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,5,52.1
2011,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,5,42.6
2014,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,5,38.0
2017,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,5,37.4
2024,Proportion of population living below the national poverty line [1.2.1],Eastern Province,,,,Percent,5,26.8
2011,Proportion of population living below the national poverty line [1.2.1],Nyarugenge,,,,Percent,11,10.1
2014,Proportion of population living below the national poverty line [1.2.1],Nyarugenge,,,,Percent,11,19.9
2017,Proportion of population living below the national poverty line [1.2.1],Nyarugenge,,,,Percent,11,11.8
2024,Proportion of population living below the national poverty line [1.2.1],Nyarugenge,,,,Percent,11,6.8
2011,Proportion of population living below the national poverty line [1.2.1],Gasabo,,,,Percent,12,26.0
2014,Proportion of population living below the national poverty line [1.2.1],Gasabo,,,,Percent,12,23.4
2017,Proportion of population living below the national poverty line [1.2.1],Gasabo,,,,Percent,12,15.8
2024,Proportion of population living below the national poverty line [1.2.1],Gasabo,,,,Percent,12,11.1
2011,Proportion of population living below the national poverty line [1.2.1],Kicukiro,,,,Percent,13,8.3
2014,Proportion of population living below the national poverty line [1.2.1],Kicukiro,,,,Percent,13,16.3
2017,Proportion of population living below the national poverty line [1.2.1],Kicukiro,,,,Percent,13,11.4
2024,Proportion of population living below the national poverty line [1.2.1],Kicukiro,,,,Percent,13,6.9
2011,Proportion of population living below the national poverty line [1.2.1],Nyanza,,,,Percent,21,49.8
2014,Proportion of population living below the national poverty line [1.2.1],Nyanza,,,,Percent,21,38.0
2017,Proportion of population living below the national poverty line [1.2.1],Nyanza,,,,Percent,21,46.5
2024,Proportion of population living below the national poverty line [1.2.1],Nyanza,,,,Percent,21,43.3
2011,Proportion of population living below the national poverty line [1.2.1],Gisagara,,,,Percent,22,59.4
2014,Proportion of population living below the national poverty line [1.2.1],Gisagara,,,,Percent,22,53.3
2017,Proportion of population living below the national poverty line [1.2.1],Gisagara,,,,Percent,22,55.6
2024,Proportion of population living below the national poverty line [1.2.1],Gisagara,,,,Percent,22,45.6
2011,Proportion of population living below the national poverty line [1.2.1],Nyaruguru,,,,Percent,23,61.6
2014,Proportion of population living below the national poverty line [1.2.1],Nyaruguru,,,,Percent,23,47.9
2017,Proportion of population living below the national poverty line [1.2.1],Nyaruguru,,,,Percent,23,52.4
2024,Proportion of population living below the national poverty line [1.2.1],Nyaruguru,,,,Percent,23,39.7
2011,Proportion of population living below the national poverty line [1.2.1],Huye,,,,Percent,24,46.6
2014,Proportion of population living below the national poverty line [1.2.1],Huye,,,,Percent,24,32.5
2017,Proportion of population living below the national poverty line [1.2.1],Huye,,,,Percent,24,40.2
2024,Proportion of population living below the national poverty line [1.2.1],Huye,,,,Percent,24,24.2
2011,Proportion of population living below the national poverty line [1.2.1],Nyamagabe,,,,Percent,25,73.3
2014,Proportion of population living below the national poverty line [1.2.1],Nyamagabe,,,,Percent,25,41.5
2017,Proportion of population living below the national poverty line [1.2.1],Nyamagabe,,,,Percent,25,48.6
2024,Proportion of population living below the national poverty line [1.2.1],Nyamagabe,,,,Percent,25,51.4
2011,Proportion of population living below the national poverty line [1.2.1],Ruhango,,,,Percent,26,60.4
2014,Proportion of population living below the national poverty line [1.2.1],Ruhango,,,,Percent,26,37.8
2017,Proportion of population living below the national poverty line [1.2.1],Ruhango,,,,Percent,26,38.0
2024,Proportion of population living below the national poverty line [1.2.1],Ruhango,,,,Percent,26,15.0
2011,Proportion of population living below the national poverty line [1.2.1],Muhanga,,,,Percent,27,53.6
2014,Proportion of population living below the national poverty line [1.2.1],Muhanga,,,,Percent,27,30.5
2017,Proportion of population living below the national poverty line [1.2.1],Muhanga,,,,Percent,27,32.6
2024,Proportion of population living below the national poverty line [1.2.1],Muhanga,,,,Percent,27,15.0
2011,Proportion of population living below the national poverty line [1.2.1],Kamonyi,,,,Percent,28,46.7
2014,Proportion of population living below the national poverty line [1.2.1],Kamonyi,,,,Percent,28,25.9
2017,Proportion of population living below the national poverty line [1.2.1],Kamonyi,,,,Percent,28,22.3
2024,Proportion of population living below the national poverty line [1.2.1],Kamonyi,,,,Percent,28,39.7
2011,Proportion of population living below the national poverty line [1.2.1],Karongi,,,,Percent,31,61.7
2014,Proportion of population living below the national poverty line [1.2.1],Karongi,,,,Percent,31,45.3
2017,Proportion of population living below the national poverty line [1.2.1],Karongi,,,,Percent,31,52.7
2024,Proportion of population living below the national poverty line [1.2.1],Karongi,,,,Percent,31,38.2
2011,Proportion of population living below the national poverty line [1.2.1],Rutsiro,,,,Percent,32,53.0
2014,Proportion of population living below the national poverty line [1.2.1],Rutsiro,,,,Percent,32,51.4
2017,Proportion of population living below the national poverty line [1.2.1],Rutsiro,,,,Percent,32,49.5
2024,Proportion of population living below the national poverty line [1.2.1],Rutsiro,,,,Percent,32,40.8
2011,Proportion of population living below the national poverty line [1.2.1],Rubavu,,,,Percent,33,35.8
2014,Proportion of population living below the national poverty line [1.2.1],Rubavu,,,,Percent,33,35.5
2017,Proportion of population living below the national poverty line [1.2.1],Rubavu,,,,Percent,33,35.7
2024,Proportion of population living below the national poverty line [1.2.1],Rubavu,,,,Percent,33,38.8
2011,Proportion of population living below the national poverty line [1.2.1],Nyabihu,,,,Percent,34,28.6
2014,Proportion of population living below the national poverty line [1.2.1],Nyabihu,,,,Percent,34,39.6
2017,Proportion of population living below the national poverty line [1.2.1],Nyabihu,,,,Percent,34,46.8
2024,Proportion of population living below the national poverty line [1.2.1],Nyabihu,,,,Percent,34,20.2
2011,Proportion of population living below the national poverty line [1.2.1],Ngororero,,,,Percent,35,51.9
2014,Proportion of population living below the national poverty line [1.2.1],Ngororero,,,,Percent,35,49.6
2017,Proportion of population living below the national poverty line [1.2.1],Ngororero,,,,Percent,35,47.7
2024,Proportion of population living below the national poverty line [1.2.1],Ngororero,,,,Percent,35,30.2
2011,Proportion of population living below the national poverty line [1.2.1],Rusizi,,,,Percent,36,45.0
2014,Proportion of population living below the national poverty line [1.2.1],Rusizi,,,,Percent,36,35.1
2017,Proportion of population living below the national poverty line [1.2.1],Rusizi,,,,Percent,36,33.5
2024,Proportion of population living below the national poverty line [1.2.1],Rusizi,,,,Percent,36,44.2
2011,Proportion of population living below the national poverty line [1.2.1],Nyamasheke,,,,Percent,37,63.4
2014,Proportion of population living below the national poverty line [1.2.1],Nyamasheke,,,,Percent,37,62.0
2017,Proportion of population living below the national poverty line [1.2.1],Nyamasheke,,,,Percent,37,69.3
2024,Proportion of population living below the national poverty line [1.2.1],Nyamasheke,,,,Percent,37,42.8
2011,Proportion of population living below the national poverty line [1.2.1],Rulindo,,,,Percent,41,42.9
2014,Proportion of population living below the national poverty line [1.2.1],Rulindo,,,,Percent,41,48.1
2017,Proportion of population living below the national poverty line [1.2.1],Rulindo,,,,Percent,41,54.2
2024,Proportion of population living below the national poverty line [1.2.1],Rulindo,,,,Percent,41,21.6
2011,Proportion of population living below the national poverty line [1.2.1],Gakenke,,,,Percent,42,56.6
2014,Proportion of population living below the national poverty line [1.2.1],Gakenke,,,,Percent,42,42.0
