Year,Reference area,Degree of urbanisation,GeoCode,Value
2011,,,,0.24
2014,,,,0.17
2017,,,,0.15
2011,,Urban,,0.09
2014,,Urban,,0.07
2017,,Urban,,0.07
2011,,Rural,,0.27
2014,,Rural,,0.19
2017,,Rural,,0.17
2011,City of Kigali,,1,0.12
2014,City of Kigali,,1,0.07
2017,City of Kigali,,1,0.07
2011,Southern Province,,2,0.29
2014,Southern Province,,2,0.21
2017,Southern Province,,2,0.19
2011,Western Province,,3,0.25
2014,Western Province,,3,0.19
2017,Western Province,,3,0.16
2011,Northern Province,,4,0.18
2014,Northern Province,,4,0.14
2017,Northern Province,,4,0.11
2011,Eastern Province,,5,0.26
2014,Eastern Province,,5,0.18
2017,Eastern Province,,5,0.17
