Year,Observation-level footnotes,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2017,Proportion of population covered by core Social Protection programs,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Proportion of population covered by core Social Protection programs [1.3.1],,,,Percent,,6.5
2018,Proportion of population covered by core Social Protection programs,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Proportion of population covered by core Social Protection programs [1.3.1],,,,Percent,,6.5
2022,Proportion of population covered by core Social Protection programs,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Proportion of population covered by core Social Protection programs [1.3.1],,,,Percent,,11.0
2017,Number of members of Pension and occupational Hazards,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of members of Pension and occupational Hazards [1.3.1],,,,Number,,484435.0
2018,Number of members of Pension and occupational Hazards,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of members of Pension and occupational Hazards [1.3.1],,,,Number,,560769.0
2020,Number of members of Pension and occupational Hazards,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of members of Pension and occupational Hazards [1.3.1],,,,Number,,610263.0
2022,Number of members of Pension and occupational Hazards,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of members of Pension and occupational Hazards [1.3.1],,,,Number,,705713.0
2017,Number of population covered by Medical scheme,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of population covered by Medical scheme [1.3.1],,,,Number,,376836.0
2018,Number of population covered by Medical scheme,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of population covered by Medical scheme [1.3.1],,,,Number,,432450.0
2019,Number of population covered by Medical scheme,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of population covered by Medical scheme [1.3.1],,,,Number,,532297.0
2020,Number of population covered by Medical scheme,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of population covered by Medical scheme [1.3.1],,,,Number,,579623.0
2021,Number of population covered by Medical scheme,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of population covered by Medical scheme [1.3.1],,,,Number,,554048.0
2022,Number of population covered by Medical scheme,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of population covered by Medical scheme [1.3.1],,,,Number,,608436.0
2017,Proportion of population covered by Community-Based Health Insurance (Coverage rate),Census 2022,Proportion of population covered by Community-Based Health Insurance [1.3.1],,,,Percent,,84.2
2018,Proportion of population covered by Community-Based Health Insurance (Coverage rate),Census 2022,Proportion of population covered by Community-Based Health Insurance [1.3.1],,,,Percent,,83.3
2019,Proportion of population covered by Community-Based Health Insurance (Coverage rate),Census 2022,Proportion of population covered by Community-Based Health Insurance [1.3.1],,,,Percent,,80.0
2022,Proportion of population covered by Community-Based Health Insurance (Coverage rate),Census 2022,Proportion of population covered by Community-Based Health Insurance [1.3.1],,,,Percent,,93.0
2017,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,,Percent,,70.0
2018,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,,Percent,,73.9
2020,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,,Percent,,86.0
2022,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,,Percent,,97.3
2017,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,Urban,Percent,,73.8
2018,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,Urban,Percent,,79.5
2020,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,Urban,Percent,,87.2
