Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2010,Official development assistance for poverty reduction (percentage of GNI),,Percent,,7.87
2011,Official development assistance for poverty reduction (percentage of GNI),,Percent,,6.74
2012,Official development assistance for poverty reduction (percentage of GNI),,Percent,,7.54
2013,Official development assistance for poverty reduction (percentage of GNI),,Percent,,4.51
2014,Official development assistance for poverty reduction (percentage of GNI),,Percent,,7.09
2016,Official development assistance for poverty reduction (percentage of GNI),,Percent,,5.42
2017,Official development assistance for poverty reduction (percentage of GNI),,Percent,,5.13
2018,Official development assistance for poverty reduction (percentage of GNI),,Percent,,4.13
2019,Official development assistance for poverty reduction (percentage of GNI),,Percent,,4.45
2020,Official development assistance for poverty reduction (percentage of GNI),,Percent,,4.67
2021,Official development assistance for poverty reduction (percentage of GNI),,Percent,,7.12
2022,Official development assistance for poverty reduction (percentage of GNI),,Percent,,4.97
