Year,Observation-level footnotes,Series,Value
2018,Number of destroyed or damaged health facilities attributed to disasters,VC_DSR_HFDN,3
2019,Number of destroyed or damaged health facilities attributed to disasters,VC_DSR_HFDN,1
2020,Number of destroyed or damaged health facilities attributed to disasters,VC_DSR_HFDN,4
2021,Number of destroyed or damaged health facilities attributed to disasters,VC_DSR_HFDN,3
2022,Number of destroyed or damaged health facilities attributed to disasters,VC_DSR_HFDN,1
2018,Number of destroyed or damaged educational facilities attributed to disasters,VC_DSR_EFDN,73
2019,Number of destroyed or damaged educational facilities attributed to disasters,VC_DSR_EFDN,203
2020,Number of destroyed or damaged educational facilities attributed to disasters,VC_DSR_EFDN,96
2021,Number of destroyed or damaged educational facilities attributed to disasters,VC_DSR_EFDN,381
2022,Number of destroyed or damaged educational facilities attributed to disasters,VC_DSR_EFDN,323
2018,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters,VC_DSR_CILN,977
2019,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters,VC_DSR_CILN,338
2020,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters,VC_DSR_CILN,4382
2021,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters,VC_DSR_CILN,323
2022,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters,VC_DSR_CILN,533
