Year,SERIES,Reference area,GeoCode,Value
2015,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,5.0
2016,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,5.0
2017,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,6.0
2018,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,6.0
2019,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,9.0
2020,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,14.0
2021,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,10.9
2022,Unsentenced detainees as a proportion of overall prison population [16.3.2],,,13.6
2016,Unsentenced detainees (number) [16.3.2],,,2543.0
2017,Unsentenced detainees (number) [16.3.2],,,3675.0
2018,Unsentenced detainees (number) [16.3.2],,,3715.0
2019,Unsentenced detainees (number) [16.3.2],,,6373.0
2020,Unsentenced detainees (number) [16.3.2],,,6373.0
2021,Unsentenced detainees (number) [16.3.2],,,9697.0
2022,Unsentenced detainees (number) [16.3.2],,,12239.0
