Year,SERIES,Reference area,GeoCode,Value
2013,Percentage of citizen satisfaction in their participation in decision making,,,74.2
2014,Percentage of citizen satisfaction in their participation in decision making,,,75.3
2015,Percentage of citizen satisfaction in their participation in decision making,,,75.4
2016,Percentage of citizen satisfaction in their participation in decision making,,,77.0
2017,Percentage of citizen satisfaction in their participation in decision making,,,76.8
2018,Percentage of citizen satisfaction in their participation in decision making,,,73.0
2019,Percentage of citizen satisfaction in their participation in decision making,,,82.0
2020,Percentage of citizen satisfaction in their participation in decision making,,,84.2
2021,Percentage of citizen satisfaction in their participation in decision making,,,87.1
2023,Percentage of citizen satisfaction in their participation in decision making,,,84.0
2024,Percentage of citizen satisfaction in their participation in decision making,,,88.4
