Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2005,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,,51.0
2010,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,,44.0
2015,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,,37.9
2020,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,,33.1
2025,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,,26.8
2015,Proportion of children moderately or severely stunted [2.2.1],,Male,under 5 years old,Percent,,42.7
2020,Proportion of children moderately or severely stunted [2.2.1],,Male,under 5 years old,Percent,,37.0
2025,Proportion of children moderately or severely stunted [2.2.1],,Male,under 5 years old,Percent,,29.3
2015,Proportion of children moderately or severely stunted [2.2.1],,Female,under 5 years old,Percent,,32.9
2020,Proportion of children moderately or severely stunted [2.2.1],,Female,under 5 years old,Percent,,29.2
2025,Proportion of children moderately or severely stunted [2.2.1],,Female,under 5 years old,Percent,,24.1
