Year,SERIES,Reference area,Sex,Age,GeoCode,Value
2005,Proportion of children moderately or severely wasted [2.2.2],,,under 5 years old,,5.0
2010,Proportion of children moderately or severely wasted [2.2.2],,,under 5 years old,,3.0
2015,Proportion of children moderately or severely wasted [2.2.2],,,under 5 years old,,2.0
2020,Proportion of children moderately or severely wasted [2.2.2],,,under 5 years old,,1.1
2015,Proportion of children moderately or severely wasted [2.2.2],,Male,under 5 years old,,2.4
2020,Proportion of children moderately or severely wasted [2.2.2],,Male,under 5 years old,,0.9
2015,Proportion of children moderately or severely wasted [2.2.2],,Female,under 5 years old,,2.0
2020,Proportion of children moderately or severely wasted [2.2.2],,Female,under 5 years old,,1.4
2010,Proportion of children moderately or severely overweight [2.2.2],,,under 5 years old,,7.0
2015,Proportion of children moderately or severely overweight [2.2.2],,,under 5 years old,,8.0
2020,Proportion of children moderately or severely overweight [2.2.2],,,under 5 years old,,5.6
2015,Proportion of children moderately or severely overweight [2.2.2],,Male,under 5 years old,,8.1
2020,Proportion of children moderately or severely overweight [2.2.2],,Male,under 5 years old,,5.8
2015,Proportion of children moderately or severely overweight [2.2.2],,Female,under 5 years old,,7.3
2020,Proportion of children moderately or severely overweight [2.2.2],,Female,under 5 years old,,5.4
