Year,SERIES,Reference area,Degree of urbanisation,GeoCode,Value
2005,Proportion of births attended by skilled health personnel [3.1.2],,,,38.6
2008,Proportion of births attended by skilled health personnel [3.1.2],,,,52.0
2010,Proportion of births attended by skilled health personnel [3.1.2],,,,69.0
2015,Proportion of births attended by skilled health personnel [3.1.2],,,,91.0
2020,Proportion of births attended by skilled health personnel [3.1.2],,,,94.2
2015,Proportion of births attended by skilled health personnel [3.1.2],,Urban,,96.9
2020,Proportion of births attended by skilled health personnel [3.1.2],,Urban,,98.1
2015,Proportion of births attended by skilled health personnel [3.1.2],,Rural,,89.4
2020,Proportion of births attended by skilled health personnel [3.1.2],,Rural,,93.5
2015,Proportion of births attended by skilled health personnel [3.1.2],City of Kigali,,1,94.5
2020,Proportion of births attended by skilled health personnel [3.1.2],City of Kigali,,1,97.3
2015,Proportion of births attended by skilled health personnel [3.1.2],Southern Province,,2,90.1
2020,Proportion of births attended by skilled health personnel [3.1.2],Southern Province,,2,92.9
2015,Proportion of births attended by skilled health personnel [3.1.2],Western Province,,3,90.5
2020,Proportion of births attended by skilled health personnel [3.1.2],Western Province,,3,93.8
2015,Proportion of births attended by skilled health personnel [3.1.2],Northern Province,,4,92.2
2020,Proportion of births attended by skilled health personnel [3.1.2],Northern Province,,4,96.7
2015,Proportion of births attended by skilled health personnel [3.1.2],Eastern Province,,5,88.9
2020,Proportion of births attended by skilled health personnel [3.1.2],Eastern Province,,5,93.0
