Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2005,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,,under 1 month old,,"Per 1,000 live births",,37
2008,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,,under 1 month old,,"Per 1,000 live births",,28
2010,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,,under 1 month old,,"Per 1,000 live births",,27
2015,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,,under 1 month old,,"Per 1,000 live births",,20
2020,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,,under 1 month old,,"Per 1,000 live births",,19
2015,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,,under 1 month old,Urban,"Per 1,000 live births",,15
2020,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,,under 1 month old,Urban,"Per 1,000 live births",,15
2015,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,,under 1 month old,Rural,"Per 1,000 live births",,24
2020,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,,under 1 month old,Rural,"Per 1,000 live births",,20
2015,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,Male,under 1 month old,,"Per 1,000 live births",,25
2020,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,Male,under 1 month old,,"Per 1,000 live births",,21
2015,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,Female,under 1 month old,,"Per 1,000 live births",,20
2020,Normal value,Units,Not Available,Neonatal mortality rate,Annual,National,Neonatal mortality rate [3.2.2],,Female,under 1 month old,,"Per 1,000 live births",,17
