Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2005,Normal value,Units,Not Available,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],,,12 to 23 Months old,Percent,,75.0
2008,Normal value,Units,Not Available,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],,,12 to 23 Months old,Percent,,80.0
2010,Normal value,Units,Not Available,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],,,12 to 23 Months old,Percent,,90.0
2015,Normal value,Units,Not Available,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],,,12 to 23 Months old,Percent,,93.0
2018,Normal value,Units,Not Available,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],,,12 to 23 Months old,Percent,,97.0
2019,Normal value,Units,Not Available,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],,,12 to 23 Months old,Percent,,98.0
2020,Normal value,Units,Not Available,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],,,12 to 23 Months old,Percent,,99.0
2020,Normal value,Units,Not Available,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],,Male,12 to 23 Months old,Percent,,98.7
2020,Normal value,Units,Not Available,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],,Female,12 to 23 Months old,Percent,,99.3
2018,Normal value,Units,Not Available,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],,,,Percent,,92.0
2019,Normal value,Units,Not Available,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],,,,Percent,,92.0
2020,Normal value,Units,Not Available,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],,,,Percent,,93.8
2020,Normal value,Units,Not Available,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],,Male,,Percent,,93.1
2020,Normal value,Units,Not Available,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],,Female,,Percent,,94.5
2018,Normal value,Units,Not Available,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Annual,National,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],,,,Percent,,97.0
2019,Normal value,Units,Not Available,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Annual,National,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],,,,Percent,,98.0
2020,Normal value,Units,Not Available,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Annual,National,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],,,,Percent,,98.8
2020,Normal value,Units,Not Available,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Annual,National,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],,Male,,Percent,,98.5
2020,Normal value,Units,Not Available,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Annual,National,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],,Female,,Percent,,99.2
