Year,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2013,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,35
2014,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,41
2015,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,41
2017,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,66
2018,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,67
2019,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,71
2020,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,73
2021,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,67
2022,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,65
2023,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,68
2024,International Health Regulations (IHR) capacity [3.d.1],,,Percent,,55
2013,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,0
2014,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,25
2015,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,0
2017,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,25
2018,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,93
2019,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,93
2020,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,93
2021,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,50
2022,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,20
2023,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,50
2024,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: Policy, legal and normative instruments to implement IHR",Percent,,20
2013,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,16
2014,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,26
2015,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,10
2017,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,73
2018,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,90
2019,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,90
2020,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,90
2021,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,60
2022,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,60
2023,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,73
2024,International Health Regulations (IHR) capacity [3.d.1],,"IHR Capacity: IHR coordination, national IHR focal point functions and advocacy",Percent,,73
2013,International Health Regulations (IHR) capacity [3.d.1],,IHR Capacity: Financing,Percent,,0
2014,International Health Regulations (IHR) capacity [3.d.1],,IHR Capacity: Financing,Percent,,25
2015,International Health Regulations (IHR) capacity [3.d.1],,IHR Capacity: Financing,Percent,,0
2017,International Health Regulations (IHR) capacity [3.d.1],,IHR Capacity: Financing,Percent,,25
2018,International Health Regulations (IHR) capacity [3.d.1],,IHR Capacity: Financing,Percent,,93
2019,International Health Regulations (IHR) capacity [3.d.1],,IHR Capacity: Financing,Percent,,93
2020,International Health Regulations (IHR) capacity [3.d.1],,IHR Capacity: Financing,Percent,,93
2021,International Health Regulations (IHR) capacity [3.d.1],,IHR Capacity: Financing,Percent,,70
