Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Education level,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Not Available,Literacy rate of children in P2,Annual,National,Literacy rate of children in P2,,,"Some primary education, grades 2 or 3",Percent,,45.3
2014,Normal value,Units,Not Available,Numeracy rate of children in P2,Annual,National,Numeracy rate of children in P2,,,"Some primary education, grades 2 or 3",Percent,,32.9
2018,Normal value,Units,Not Available,Literacy rate of children in P3,Annual,National,Literacy rate of children in P3,,,"Some primary education, grades 2 or 3",Percent,,54.9
2018,Normal value,Units,Not Available,Literacy rate of children in P3,Annual,National,Literacy rate of children in P3,,Male,"Some primary education, grades 2 or 3",Percent,,52.2
2018,Normal value,Units,Not Available,Literacy rate of children in P3,Annual,National,Literacy rate of children in P3,,Female,"Some primary education, grades 2 or 3",Percent,,56.4
2018,Normal value,Units,Not Available,Numeracy rate of children in P3,Annual,National,Numeracy rate of children in P3,,,"Some primary education, grades 2 or 3",Percent,,40.7
2018,Normal value,Units,Not Available,Numeracy rate of children in P3,Annual,National,Numeracy rate of children in P3,,Male,"Some primary education, grades 2 or 3",Percent,,40.3
2018,Normal value,Units,Not Available,Numeracy rate of children in P3,Annual,National,Numeracy rate of children in P3,,Female,"Some primary education, grades 2 or 3",Percent,,41.3
2014,Normal value,Units,Not Available,Literacy rate of children in P5,Annual,National,Literacy rate of children in P5,,,Primary education,Percent,,44.1
2014,Normal value,Units,Not Available,Numeracy rate of children in P5,Annual,National,Numeracy rate of children in P5,,,Primary education,Percent,,38.3
