Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Education level,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Not Available,"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",Annual,National,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,,36 to 59 months old,Pre-primary education,Percent,,63.1
2020,Normal value,Units,Not Available,"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",Annual,National,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,,36 to 59 months old,Pre-primary education,Percent,,76.0
2016,Normal value,Units,Not Available,"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",Annual,National,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Male,36 to 59 months old,Pre-primary education,Percent,,62.6
2020,Normal value,Units,Not Available,"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",Annual,National,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Male,36 to 59 months old,Pre-primary education,Percent,,74.1
2016,Normal value,Units,Not Available,"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",Annual,National,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Female,36 to 59 months old,Pre-primary education,Percent,,63.6
2020,Normal value,Units,Not Available,"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",Annual,National,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Female,36 to 59 months old,Pre-primary education,Percent,,77.9
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,,under 5 years old,Pre-primary education,Percent,,7.0
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,,under 5 years old,Pre-primary education,Percent,,11.0
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,Male,under 5 years old,Pre-primary education,Percent,,6.3
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,Male,under 5 years old,Pre-primary education,Percent,,11.2
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,Female,under 5 years old,Pre-primary education,Percent,,7.8
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,Female,under 5 years old,Pre-primary education,Percent,,12.3
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,,under 5 years old,Pre-primary education,Percent,,92.3
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,,under 5 years old,Pre-primary education,Percent,,95.4
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,Male,under 5 years old,Pre-primary education,Percent,,92.4
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,Male,under 5 years old,Pre-primary education,Percent,,95.3
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,Female,under 5 years old,Pre-primary education,Percent,,92.2
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,Female,under 5 years old,Pre-primary education,Percent,,95.8
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,,under 5 years old,Pre-primary education,Percent,,73.1
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,,under 5 years old,Pre-primary education,Percent,,94.4
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,Male,under 5 years old,Pre-primary education,Percent,,72.9
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,Male,under 5 years old,Pre-primary education,Percent,,93.2
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,Female,under 5 years old,Pre-primary education,Percent,,73.3
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,Female,under 5 years old,Pre-primary education,Percent,,95.8
2016,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Learning",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Learning",,,under 5 years old,Pre-primary education,Percent,,85.7
2020,Normal value,Units,Not Available,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Learning",Annual,National,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Learning",,,under 5 years old,Pre-primary education,Percent,,76.0
