Year,SERIES,Reference area,Degree of urbanisation,GeoCode,Value
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,4.6
2020,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,5.2
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,5.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,12.6
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,13.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,2.3
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,2.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,4.3
2020,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,7.3
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,5.5
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,11.7
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,12.9
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,2.2
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,2.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,2.8
2020,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,3.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,4.4
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,8.6
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,10.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,1.2
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,1.9
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,2.6
2020,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,3.6
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,4.4
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,7.5
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,10.3
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,1.2
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,2.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,2.6
2020,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,4.0
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,4.5
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,7.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,11.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,1.1
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,1.9
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,1.6
2020,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,2.3
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,3.3
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,5.1
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,8.1
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,0.6
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,1.4
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,0.9
2020,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,1.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,2.5
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,2.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,6.3
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,0.4
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,0.9
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,1.8
2020,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,3.3
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,4.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,5.4
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,11.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,0.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,2.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,1.8
2020,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,0.9
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,,1.3
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,5.4
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,,3.2
2017,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,0.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,,0.5
