Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2005,Literacy rate among population aged 15 and above [4.6.1],,,Percent,,65.3
2011,Literacy rate among population aged 15 and above [4.6.1],,,Percent,,69.5
2014,Literacy rate among population aged 15 and above [4.6.1],,,Percent,,72.1
2017,Literacy rate among population aged 15 and above [4.6.1],,,Percent,,73.2
2021,Literacy rate among population aged 15 and above [4.6.1],,,Percent,,72.4
2024,Literacy rate among population aged 15 and above [4.6.1],,,Percent,,75.8
2005,Literacy rate among population aged 15 and above [4.6.1],,Male,Percent,,71.5
2011,Literacy rate among population aged 15 and above [4.6.1],,Male,Percent,,75.5
2014,Literacy rate among population aged 15 and above [4.6.1],,Male,Percent,,77.3
2017,Literacy rate among population aged 15 and above [4.6.1],,Male,Percent,,77.6
2021,Literacy rate among population aged 15 and above [4.6.1],,Male,Percent,,76.1
2024,Literacy rate among population aged 15 and above [4.6.1],,Male,Percent,,78.4
2005,Literacy rate among population aged 15 and above [4.6.1],,Female,Percent,,60.1
2011,Literacy rate among population aged 15 and above [4.6.1],,Female,Percent,,64.5
2014,Literacy rate among population aged 15 and above [4.6.1],,Female,Percent,,67.6
2017,Literacy rate among population aged 15 and above [4.6.1],,Female,Percent,,69.4
2021,Literacy rate among population aged 15 and above [4.6.1],,Female,Percent,,69.3
2024,Literacy rate among population aged 15 and above [4.6.1],,Female,Percent,,73.6
2014,Numeracy rate among population aged 15 and above [4.6.1],,,Percent,,74.1
2017,Numeracy rate among population aged 15 and above [4.6.1],,,Percent,,73.4
2021,Numeracy rate among population aged 15 and above [4.6.1],,,Percent,,73.3
2024,Numeracy rate among population aged 15 and above [4.6.1],,,Percent,,77.6
2014,Numeracy rate among population aged 15 and above [4.6.1],,Male,Percent,,79.4
2017,Numeracy rate among population aged 15 and above [4.6.1],,Male,Percent,,78.0
2021,Numeracy rate among population aged 15 and above [4.6.1],,Male,Percent,,77.3
2024,Numeracy rate among population aged 15 and above [4.6.1],,Male,Percent,,80.4
2014,Numeracy rate among population aged 15 and above [4.6.1],,Female,Percent,,69.5
2017,Numeracy rate among population aged 15 and above [4.6.1],,Female,Percent,,69.4
2021,Numeracy rate among population aged 15 and above [4.6.1],,Female,Percent,,69.8
2024,Numeracy rate among population aged 15 and above [4.6.1],,Female,Percent,,75.2
