Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Age,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Not Available,"Proportion of youth (aged 16-24 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 24 years old,Percent,,31.8
2018,Normal value,Units,Not Available,"Proportion of youth (aged 16-24 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 24 years old,Percent,,30.7
2019,Normal value,Units,Not Available,"Proportion of youth (aged 16-24 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 24 years old,Percent,,32.5
2021,Normal value,Units,Not Available,"Proportion of youth (aged 16-24 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 24 years old,Percent,,32.8
2022,Normal value,Units,Not Available,"Proportion of youth (aged 16-24 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 24 years old,Percent,,32.1
2023,Normal value,Units,Not Available,"Proportion of youth (aged 16-24 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 24 years old,Percent,,31.9
2024,Normal value,Units,Not Available,"Proportion of youth (aged 16-24 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 24 years old,Percent,,26.8
2017,Normal value,Units,Not Available,"Proportion of youth (aged 16-30 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 30 years old,Percent,,34.6
2018,Normal value,Units,Not Available,"Proportion of youth (aged 16-30 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 30 years old,Percent,,32.7
2019,Normal value,Units,Not Available,"Proportion of youth (aged 16-30 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 30 years old,Percent,,34.3
2021,Normal value,Units,Not Available,"Proportion of youth (aged 16-30 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 30 years old,Percent,,35.6
2022,Normal value,Units,Not Available,"Proportion of youth (aged 16-30 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 30 years old,Percent,,34.2
2023,Normal value,Units,Not Available,"Proportion of youth (aged 16-30 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 30 years old,Percent,,32.9
2024,Normal value,Units,Not Available,"Proportion of youth (aged 16-30 years) not in education, employment or training",Annual,National,"Proportion of youth not in education, employment or training [8.6.1]",,16 to 30 years old,Percent,,28.4
