Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2000,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,12
2001,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,11
2002,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,12
2003,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,10
2004,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,10
2005,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,10
2006,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,9
2007,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,8
2008,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,8
2009,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,8
2010,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,8
2011,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,8
2012,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,8
2013,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,7
2014,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,7
2015,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,7
2016,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,7
2017,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,8
2018,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,8
2019,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,8
2020,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,9
2021,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,9
2022,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,10
2023,Normal value,Units,Not Available,Manufacturing value added as a proportion of GDP (%),Annual,National,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,,10
