Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2009,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,82.0
2010,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,95.6
2011,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,97.3
2012,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,98.4
2013,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,99.8
2014,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,99.9
2015,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,99.9
2016,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,99.9
2017,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,99.9
2018,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,99.9
2019,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,99.9
2020,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,99.9
2021,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,98.6
2022,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,98.7
2023,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,99.1
2013,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,98.7
2014,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,72.1
2015,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,88.0
2016,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,91.9
2017,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,93.1
2018,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,93.4
2019,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,97.4
2020,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,96.0
2021,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,98.6
2022,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,98.7
2023,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,99.1
2016,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,29.0
2017,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,64.3
2018,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,96.6
2019,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,98.9
2020,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,98.1
2021,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,98.07
2022,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,98.8
2023,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,98.76
