Year,Observation-level footnotes,Series,Value
2018,Number of Houses damaged by disaster,_L_RW_010502_1,15910.0
2019,Number of Houses damaged by disaster,_L_RW_010502_1,5691.0
2020,Number of Houses damaged by disaster,_L_RW_010502_1,8098.0
2021,Number of Houses damaged by disaster,_L_RW_010502_1,4808.0
2022,Number of Houses damaged by disaster,_L_RW_010502_1,4156.0
2023,Number of Houses damaged by disaster,_L_RW_010502_1,9955.0
2018,Number of Ha for crops damaged,_L_RW_010502_2,13337.0
2019,Number of Ha for crops damaged,_L_RW_010502_2,10610.0
2020,Number of Ha for crops damaged,_L_RW_010502_2,4661.5
2021,Number of Ha for crops damaged,_L_RW_010502_2,3802.3
2022,Number of Ha for crops damaged,_L_RW_010502_2,1917.7
2023,Number of Ha for crops damaged,_L_RW_010502_2,2176.3
2018,Number of Classrooms damaged,_L_RW_010502_3,73.0
2019,Number of Classrooms damaged,_L_RW_010502_3,203.0
2020,Number of Classrooms damaged,_L_RW_010502_3,96.0
2021,Number of Classrooms damaged,_L_RW_010502_3,381.0
2022,Number of Classrooms damaged,_L_RW_010502_3,323.0
2023,Number of Classrooms damaged,_L_RW_010502_3,154.0
2018,Number of Health Centers damaged,_L_RW_010502_4,3.0
2019,Number of Health Centers damaged,_L_RW_010502_4,1.0
2020,Number of Health Centers damaged,_L_RW_010502_4,4.0
2021,Number of Health Centers damaged,_L_RW_010502_4,3.0
2022,Number of Health Centers damaged,_L_RW_010502_4,1.0
2023,Number of Health Centers damaged,_L_RW_010502_4,5.0
2018,Number of Bridges damaged,_L_RW_010502_5,64.0
2019,Number of Bridges damaged,_L_RW_010502_5,40.0
2020,Number of Bridges damaged,_L_RW_010502_5,103.0
2021,Number of Bridges damaged,_L_RW_010502_5,39.0
2022,Number of Bridges damaged,_L_RW_010502_5,59.0
2023,Number of Bridges damaged,_L_RW_010502_5,57.0
2018,Number of Administrative Offices damaged,_L_RW_010502_6,12.0
2019,Number of Administrative Offices damaged,_L_RW_010502_6,21.0
2020,Number of Administrative Offices damaged,_L_RW_010502_6,17.0
2021,Number of Administrative Offices damaged,_L_RW_010502_6,23.0
2022,Number of Administrative Offices damaged,_L_RW_010502_6,21.0
2023,Number of Administrative Offices damaged,_L_RW_010502_6,25.0
2018,Number of Transmission lines damaged,_L_RW_010502_7,26.0
2019,Number of Transmission lines damaged,_L_RW_010502_7,72.0
2020,Number of Transmission lines damaged,_L_RW_010502_7,98.0
2021,Number of Transmission lines damaged,_L_RW_010502_7,73.0
2022,Number of Transmission lines damaged,_L_RW_010502_7,80.0
2023,Number of Transmission lines damaged,_L_RW_010502_7,32.0
2018,Number of Water supply damaged,_L_RW_010502_8,1.0
2019,Number of Water supply damaged,_L_RW_010502_8,6.0
2020,Number of Water supply damaged,_L_RW_010502_8,26.0
2021,Number of Water supply damaged,_L_RW_010502_8,13.0
2022,Number of Water supply damaged,_L_RW_010502_8,1.0
2023,Number of Water supply damaged,_L_RW_010502_8,8.0
2019,Number of Markets damaged,_L_RW_010502_9,4.0
2020,Number of Markets damaged,_L_RW_010502_9,6.0
2021,Number of Markets damaged,_L_RW_010502_9,4.0
2022,Number of Markets damaged,_L_RW_010502_9,2.0
2023,Number of Markets damaged,_L_RW_010502_9,5.0
2019,Number of Factories damaged,_L_RW_010502_10,2.0
2020,Number of Factories damaged,_L_RW_010502_10,1.0
2021,Number of Factories damaged,_L_RW_010502_10,4.0
2022,Number of Factories damaged,_L_RW_010502_10,4.0
2023,Number of Factories damaged,_L_RW_010502_10,7.0
2020,Number of Ha for forests damaged,_L_RW_010502_11,458.0
2021,Number of Ha for forests damaged,_L_RW_010502_11,167.0
2022,Number of Ha for forests damaged,_L_RW_010502_11,73.0
2023,Number of Ha for forests damaged,_L_RW_010502_11,41.0
2018,Number of churches damaged,_L_RW_010502_12,27.0
2019,Number of churches damaged,_L_RW_010502_12,50.0
2020,Number of churches damaged,_L_RW_010502_12,22.0
2022,Number of churches damaged,_L_RW_010502_12,20.0
2023,Number of churches damaged,_L_RW_010502_12,30.0
2018,Number of road sections damaged,_L_RW_010502_13,32.0
2019,Number of road sections damaged,_L_RW_010502_13,30.0
2020,Number of road sections damaged,_L_RW_010502_13,154.0
2022,Number of road sections damaged,_L_RW_010502_13,72.0
2023,Number of road sections damaged,_L_RW_010502_13,32.0
2018,Number of Cattles and livestock lost,_L_RW_010502_14,815.0
2019,Number of Cattles and livestock lost,_L_RW_010502_14,113.0
2020,Number of Cattles and livestock lost,_L_RW_010502_14,3497.0
2022,Number of Cattles and livestock lost,_L_RW_010502_14,201.0
2023,Number of Cattles and livestock lost,_L_RW_010502_14,1208.0
