Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Percentage of VUP social transfers which benefit the poorest quintile,,Percent,,29.5
2017,Percentage of VUP social transfers which benefit the poorest quintile,,Percent,,26.6
2024,Percentage of VUP social transfers which benefit the poorest quintile,,Percent,,20.0
2000,Percentage of medical consultations which benefit the poorest quintile,,Percent,,12.8
2005,Percentage of medical consultations which benefit the poorest quintile,,Percent,,12.3
2011,Percentage of medical consultations which benefit the poorest quintile,,Percent,,14.0
2014,Percentage of medical consultations which benefit the poorest quintile,,Percent,,16.4
2017,Percentage of medical consultations which benefit the poorest quintile,,Percent,,17.1
2024,Percentage of medical consultations which benefit the poorest quintile,,Percent,,17.2
2011,Percentage of population having ever attended school in the poorest quintile,,Percent,,18.1
2014,Percentage of population having ever attended school in the poorest quintile,,Percent,,18.1
2017,Percentage of population having ever attended school in the poorest quintile,,Percent,,18.1
2024,Percentage of population having ever attended school in the poorest quintile,,Percent,,19.2
