Year,Reference area,GeoCode,Value
2009,,,28.0
2019,,,30.4
2009,Nyaruguru,23,48.0
2019,Nyaruguru,23,55.0
2009,Rusizi,36,48.0
2019,Rusizi,36,53.0
2009,Nyamagabe,25,45.0
2019,Nyamagabe,25,50.0
2009,Nyamasheke,37,44.0
2019,Nyamasheke,37,48.0
2009,Kayonza,54,52.0
2019,Kayonza,54,45.0
2009,Gatsibo,53,43.0
2019,Gatsibo,53,43.0
2009,Musanze,43,30.0
2019,Musanze,43,36.0
2009,Nyagatare,52,41.0
2019,Nyagatare,52,35.0
2009,Rutsiro,32,20.0
2019,Rutsiro,32,30.0
2009,Karongi,31,26.0
2019,Karongi,31,30.0
2009,Nyabihu,34,22.0
2019,Nyabihu,34,28.0
2009,Gicumbi,45,20.0
2019,Gicumbi,45,28.0
2009,Muhanga,27,21.0
2019,Muhanga,27,26.0
2009,Rulindo,41,21.0
2019,Rulindo,41,26.0
2009,Gakenke,42,21.0
2019,Gakenke,42,25.0
2009,Huye,24,20.0
2019,Huye,24,25.0
2009,Ngororero,35,17.0
2019,Ngororero,35,22.0
2009,Nyarugenge,11,20.0
2019,Nyarugenge,11,21.0
2009,Burera,44,14.0
2019,Burera,44,20.0
2009,Gasabo,12,17.0
2019,Gasabo,12,20.0
2009,Rubavu,33,10.0
2019,Rubavu,33,18.0
2009,Bugesera,57,17.0
2019,Bugesera,57,18.0
2009,Kirehe,55,21.0
2019,Kirehe,55,17.0
2009,Ruhango,26,11.0
2019,Ruhango,26,14.0
2009,Kamonyi,28,12.0
2019,Kamonyi,28,14.0
2009,Rwamagana,51,8.0
2019,Rwamagana,51,14.0
2009,Nyanza,21,11.0
2019,Nyanza,21,13.0
2009,Gisagara,22,12.0
2019,Gisagara,22,13.0
2009,Ngoma,56,8.0
2019,Ngoma,56,12.0
2009,Kicukiro,13,9.0
2019,Kicukiro,13,9.0
