Year,Observation-level footnotes,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2013,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,74.2
2014,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,75.3
2015,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,75.4
2016,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,77.0
2017,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,76.8
2018,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,73.0
2019,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,82.0
2020,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,84.2
2021,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,87.1
2023,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,84.0
2024,Percentage of citizen satisfaction in their participation in decision making,"Rwanda Governance Score Card, RGB",Percentage of citizen satisfaction in their participation in decision making,,Percent,,88.4
