Year,Observation-level footnotes,Series,Value
2000,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2001,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2002,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2003,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2004,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2005,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2006,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2007,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2008,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2009,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2010,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2011,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2012,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2013,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2014,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2015,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2016,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2017,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2018,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2019,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2020,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2021,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2022,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,1
2000,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2001,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2002,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2003,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2004,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2005,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2006,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2007,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2008,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2009,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2010,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2011,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2012,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2013,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2014,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2015,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2016,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2017,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2018,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2019,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2020,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2021,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2022,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,1
2000,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2001,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2002,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2003,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2004,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2005,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2006,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2007,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2008,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2009,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2010,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2011,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2012,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2013,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2014,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2015,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2016,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2017,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2018,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2019,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2020,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2021,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
2022,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,1
