Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Prevalence of moderate food insecurity,,Percent,,16.8
2018,Prevalence of moderate food insecurity,,Percent,,17.0
2019,Prevalence of moderate food insecurity,,Percent,,18.8
2020,Prevalence of moderate food insecurity,,Percent,,16.8
2021,Prevalence of moderate food insecurity,,Percent,,19.0
2024,Prevalence of moderate food insecurity,,Percent,,16.0
2015,Prevalence of severe food insecurity,,Percent,,2.6
2018,Prevalence of severe food insecurity,,Percent,,1.7
2019,Prevalence of severe food insecurity,,Percent,,1.8
2020,Prevalence of severe food insecurity,,Percent,,2.6
2021,Prevalence of severe food insecurity,,Percent,,2.0
2024,Prevalence of severe food insecurity,,Percent,,1.0
