Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2000,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,21.1
2001,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,20.2
2002,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,19.4
2003,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,18.6
2004,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,17.9
2005,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,17.2
2006,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,16.5
2007,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,15.9
2008,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,15.3
2009,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.8
2010,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.4
2011,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.2
2012,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.1
2013,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.1
2014,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.2
2015,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.3
2016,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.4
2017,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.4
2018,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.5
2019,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.6
2020,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.7
2021,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,15.0
2022,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,15.4
2023,Prevalence of anaemia in women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,16.1
2000,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,20.1
2001,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,19.2
2002,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,18.4
2003,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,17.7
2004,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,17.0
2005,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,16.3
2006,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,15.6
2007,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,15.0
2008,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.5
2009,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.0
2010,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.6
2011,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.4
2012,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.3
2013,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.3
2014,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.4
2015,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.5
2016,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.6
2017,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.7
2018,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.8
2019,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,13.9
2020,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.1
2021,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.4
2022,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,14.8
2023,Prevalence of anaemia in non-pregnant women aged 15 to 49 years,,Female,15 to 49 years old,Percent,,15.5
2000,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,29.8
2001,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,28.9
2002,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,28.0
2003,Prevalence of anaemia in pregnant women,,Female,15 to 49 years old,Percent,,27.2
