Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,GeoCode,Value
2000,Under-five mortality rate [3.2.1],,,under 5 years old,,,196
2005,Under-five mortality rate [3.2.1],,,under 5 years old,,,152
2008,Under-five mortality rate [3.2.1],,,under 5 years old,,,103
2010,Under-five mortality rate [3.2.1],,,under 5 years old,,,76
2015,Under-five mortality rate [3.2.1],,,under 5 years old,,,50
2020,Under-five mortality rate [3.2.1],,,under 5 years old,,,45
2020,Under-five mortality rate [3.2.1],,Male,under 5 years old,,,47
2020,Under-five mortality rate [3.2.1],,Female,under 5 years old,,,43
2008,Under-five mortality rate [3.2.1],,,under 5 years old,Urban,,87
2010,Under-five mortality rate [3.2.1],,,under 5 years old,Urban,,81
2015,Under-five mortality rate [3.2.1],,,under 5 years old,Urban,,51
2020,Under-five mortality rate [3.2.1],,,under 5 years old,Urban,,35
2008,Under-five mortality rate [3.2.1],,,under 5 years old,Rural,,142
2010,Under-five mortality rate [3.2.1],,,under 5 years old,Rural,,105
2015,Under-five mortality rate [3.2.1],,,under 5 years old,Rural,,70
2020,Under-five mortality rate [3.2.1],,,under 5 years old,Rural,,48
2008,Under-five mortality rate [3.2.1],City of Kigali,,under 5 years old,,1,102
2010,Under-five mortality rate [3.2.1],City of Kigali,,under 5 years old,,1,79
2015,Under-five mortality rate [3.2.1],City of Kigali,,under 5 years old,,1,42
2020,Under-five mortality rate [3.2.1],City of Kigali,,under 5 years old,,1,31
2008,Under-five mortality rate [3.2.1],Southern Province,,under 5 years old,,2,127
2010,Under-five mortality rate [3.2.1],Southern Province,,under 5 years old,,2,96
2015,Under-five mortality rate [3.2.1],Southern Province,,under 5 years old,,2,66
2020,Under-five mortality rate [3.2.1],Southern Province,,under 5 years old,,2,56
2008,Under-five mortality rate [3.2.1],Western Province,,under 5 years old,,3,129
2010,Under-five mortality rate [3.2.1],Western Province,,under 5 years old,,3,88
2015,Under-five mortality rate [3.2.1],Western Province,,under 5 years old,,3,62
2020,Under-five mortality rate [3.2.1],Western Province,,under 5 years old,,3,44
2008,Under-five mortality rate [3.2.1],Northern Province,,under 5 years old,,4,115
2010,Under-five mortality rate [3.2.1],Northern Province,,under 5 years old,,4,107
2015,Under-five mortality rate [3.2.1],Northern Province,,under 5 years old,,4,60
2020,Under-five mortality rate [3.2.1],Northern Province,,under 5 years old,,4,57
2008,Under-five mortality rate [3.2.1],Eastern Province,,under 5 years old,,5,174
2010,Under-five mortality rate [3.2.1],Eastern Province,,under 5 years old,,5,125
2015,Under-five mortality rate [3.2.1],Eastern Province,,under 5 years old,,5,86
2020,Under-five mortality rate [3.2.1],Eastern Province,,under 5 years old,,5,56
