Year,SERIES,Reference area,Sex,Age,Education level,GeoCode,Value
2016,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,,36 to 59 months old,Pre-primary education,,63.1
2020,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,,36 to 59 months old,Pre-primary education,,76.0
2016,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Male,36 to 59 months old,Pre-primary education,,62.6
2020,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Male,36 to 59 months old,Pre-primary education,,74.1
2016,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Female,36 to 59 months old,Pre-primary education,,63.6
2020,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning [4.2.1]",,Female,36 to 59 months old,Pre-primary education,,77.9
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,,under 5 years old,Pre-primary education,,7.0
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,,under 5 years old,Pre-primary education,,11.0
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,Male,under 5 years old,Pre-primary education,,6.3
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,Male,under 5 years old,Pre-primary education,,11.2
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,Female,under 5 years old,Pre-primary education,,7.8
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Literacy-numeracy",,Female,under 5 years old,Pre-primary education,,12.3
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,,under 5 years old,Pre-primary education,,92.3
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,,under 5 years old,Pre-primary education,,95.4
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,Male,under 5 years old,Pre-primary education,,92.4
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,Male,under 5 years old,Pre-primary education,,95.3
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,Female,under 5 years old,Pre-primary education,,92.2
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Physical",,Female,under 5 years old,Pre-primary education,,95.8
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,,under 5 years old,Pre-primary education,,73.1
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,,under 5 years old,Pre-primary education,,94.4
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,Male,under 5 years old,Pre-primary education,,72.9
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,Male,under 5 years old,Pre-primary education,,93.2
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,Female,under 5 years old,Pre-primary education,,73.3
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Social emotional",,Female,under 5 years old,Pre-primary education,,95.8
2016,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Learning",,,under 5 years old,Pre-primary education,,85.7
2020,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex - Learning",,,under 5 years old,Pre-primary education,,76.0
