Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,Percent,,4.6
2020,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,Percent,,5.2
2024,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,Percent,,5.6
2017,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,Percent,,12.6
2024,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Urban,Percent,,13.0
2017,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,Percent,,2.3
2024,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Rural,Percent,,2.6
2017,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,Percent,,4.3
2020,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,Percent,,7.3
2024,Normal value,Units,Not Available,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,Annual,National,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,,Percent,,5.5
