Year,SERIES,Reference area,Sex,GeoCode,Value
2017,Proportion of time spent on unpaid care work [5.4.1],,,,21.4
2018,Proportion of time spent on unpaid care work [5.4.1],,,,20.6
2019,Proportion of time spent on unpaid care work [5.4.1],,,,17.9
2021,Proportion of time spent on unpaid care work [5.4.1],,,,17.9
2022,Proportion of time spent on unpaid care work [5.4.1],,,,17.3
2023,Proportion of time spent on unpaid care work [5.4.1],,,,19.5
2024,Proportion of time spent on unpaid care work [5.4.1],,,,17.7
2017,Proportion of time spent on unpaid care work [5.4.1],,Male,,14.6
2018,Proportion of time spent on unpaid care work [5.4.1],,Male,,13.5
2019,Proportion of time spent on unpaid care work [5.4.1],,Male,,12.1
2021,Proportion of time spent on unpaid care work [5.4.1],,Male,,12.3
2022,Proportion of time spent on unpaid care work [5.4.1],,Male,,11.9
2023,Proportion of time spent on unpaid care work [5.4.1],,Male,,13.6
2024,Proportion of time spent on unpaid care work [5.4.1],,Male,,12.6
2017,Proportion of time spent on unpaid care work [5.4.1],,Female,,26.0
2018,Proportion of time spent on unpaid care work [5.4.1],,Female,,25.3
2019,Proportion of time spent on unpaid care work [5.4.1],,Female,,22.3
2021,Proportion of time spent on unpaid care work [5.4.1],,Female,,21.8
2022,Proportion of time spent on unpaid care work [5.4.1],,Female,,21.1
2023,Proportion of time spent on unpaid care work [5.4.1],,Female,,24.0
2024,Proportion of time spent on unpaid care work [5.4.1],,Female,,23.1
