Year,Observation-level footnotes,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2010,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,,Percent,,74.0
2015,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,,Percent,,73.0
2020,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,,Percent,,80.0
2022,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,,Percent,,82.0
2005,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Urban,Percent,,55.4
2010,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Urban,Percent,,90.0
2015,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Urban,Percent,,91.0
2020,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Urban,Percent,,96.0
2022,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Urban,Percent,,95.7
2005,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Rural,Percent,,22.6
2010,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Rural,Percent,,71.0
2015,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Rural,Percent,,69.2
2020,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Rural,Percent,,77.0
2022,Proportion (%) of Households have access to an improved water source,RDHC nad RPHC5/2022,Proportion (%) of population using basic drinking water services,,Rural,Percent,,76.7
