Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2010,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2011,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2012,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2013,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2014,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2015,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2016,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2017,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2018,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2019,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2020,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2021,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2022,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2023,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
2024,Normal value,Units,Not Available,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Annual,National,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management [6.b.1],,Percent,,1
