Year,Series,Value
2015,"Number of automated teller machines (ATMs) per 100,000 adults",5.8
2016,"Number of automated teller machines (ATMs) per 100,000 adults",6.0
2017,"Number of automated teller machines (ATMs) per 100,000 adults",5.9
2018,"Number of automated teller machines (ATMs) per 100,000 adults",5.4
2019,"Number of automated teller machines (ATMs) per 100,000 adults",5.3
2015,"Number of commercial bank branches per 100,000 adults",8.2
2016,"Number of commercial bank branches per 100,000 adults",8.2
2017,"Number of commercial bank branches per 100,000 adults",7.4
2018,"Number of commercial bank branches per 100,000 adults",7.4
2019,"Number of commercial bank branches per 100,000 adults",6.9
