Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,,Percent,,86.2
2017,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,,Percent,,84.6
2018,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,,Percent,,83.5
2019,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,,Percent,,83.5
2021,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,,Percent,,82.0
2022,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,,Percent,,84.1
2023,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,,Percent,,83.3
2024,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,,Percent,,85.5
2017,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Male,Percent,,66.4
2018,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Male,Percent,,66.3
2019,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Male,Percent,,64.5
2021,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Male,Percent,,66.3
2022,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Male,Percent,,68.2
2023,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Male,Percent,,65.2
2024,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Male,Percent,,63.3
2017,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Female,Percent,,33.6
2018,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Female,Percent,,33.7
2019,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Female,Percent,,35.5
2021,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Female,Percent,,33.3
2022,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Female,Percent,,33.8
2023,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Female,Percent,,34.8
2024,Normal value,Units,Not Available,Proportion of informal employment in non-agriculture employment,Annual,National,Proportion of informal employment in non-agriculture employment [8.3.1],,Female,Percent,,36.7
