Year,SERIES,Reference area,Occupation,UNIT_MEASURE,GeoCode,Value
2017,Average hourly earnings [8.5.1],,Managers,Number,,2365.2
2018,Average hourly earnings [8.5.1],,Managers,Number,,2531.1
2019,Average hourly earnings [8.5.1],,Managers,Number,,2285.5
2020,Average hourly earnings [8.5.1],,Managers,Number,,2519.0
2021,Average hourly earnings [8.5.1],,Managers,Number,,2346.0
2022,Average hourly earnings [8.5.1],,Managers,Number,,2337.5
2023,Average hourly earnings [8.5.1],,Managers,Number,,3496.3
2017,Average hourly earnings [8.5.1],,Professionals,Number,,973.5
2018,Average hourly earnings [8.5.1],,Professionals,Number,,982.1
2019,Average hourly earnings [8.5.1],,Professionals,Number,,982.0
2020,Average hourly earnings [8.5.1],,Professionals,Number,,1175.5
2021,Average hourly earnings [8.5.1],,Professionals,Number,,960.2
2022,Average hourly earnings [8.5.1],,Professionals,Number,,1097.4
2023,Average hourly earnings [8.5.1],,Professionals,Number,,1226.4
2017,Average hourly earnings [8.5.1],,Technicians and associate professionals,Number,,1517.1
2018,Average hourly earnings [8.5.1],,Technicians and associate professionals,Number,,1290.7
2019,Average hourly earnings [8.5.1],,Technicians and associate professionals,Number,,1389.9
2020,Average hourly earnings [8.5.1],,Technicians and associate professionals,Number,,1653.7
2021,Average hourly earnings [8.5.1],,Technicians and associate professionals,Number,,1469.3
2022,Average hourly earnings [8.5.1],,Technicians and associate professionals,Number,,1288.9
2023,Average hourly earnings [8.5.1],,Technicians and associate professionals,Number,,1725.8
2017,Average hourly earnings [8.5.1],,Clerical support workers,Number,,941.3
2018,Average hourly earnings [8.5.1],,Clerical support workers,Number,,935.8
2019,Average hourly earnings [8.5.1],,Clerical support workers,Number,,890.3
2020,Average hourly earnings [8.5.1],,Clerical support workers,Number,,923.9
2021,Average hourly earnings [8.5.1],,Clerical support workers,Number,,855.1
2022,Average hourly earnings [8.5.1],,Clerical support workers,Number,,949.2
2023,Average hourly earnings [8.5.1],,Clerical support workers,Number,,968.8
2017,Average hourly earnings [8.5.1],,Service and sales workers,Number,,366.9
2018,Average hourly earnings [8.5.1],,Service and sales workers,Number,,325.3
2019,Average hourly earnings [8.5.1],,Service and sales workers,Number,,339.6
2020,Average hourly earnings [8.5.1],,Service and sales workers,Number,,372.2
2021,Average hourly earnings [8.5.1],,Service and sales workers,Number,,399.9
2022,Average hourly earnings [8.5.1],,Service and sales workers,Number,,429.7
2023,Average hourly earnings [8.5.1],,Service and sales workers,Number,,421.9
2017,Average hourly earnings [8.5.1],,"Skilled agricultural, forestry and fishery workers",Number,,297.5
2018,Average hourly earnings [8.5.1],,"Skilled agricultural, forestry and fishery workers",Number,,206.0
2019,Average hourly earnings [8.5.1],,"Skilled agricultural, forestry and fishery workers",Number,,293.8
2020,Average hourly earnings [8.5.1],,"Skilled agricultural, forestry and fishery workers",Number,,733.2
2021,Average hourly earnings [8.5.1],,"Skilled agricultural, forestry and fishery workers",Number,,289.0
2022,Average hourly earnings [8.5.1],,"Skilled agricultural, forestry and fishery workers",Number,,353.0
2023,Average hourly earnings [8.5.1],,"Skilled agricultural, forestry and fishery workers",Number,,342.5
2017,Average hourly earnings [8.5.1],,Craft and related trades workers,Number,,524.3
2018,Average hourly earnings [8.5.1],,Craft and related trades workers,Number,,497.2
2019,Average hourly earnings [8.5.1],,Craft and related trades workers,Number,,546.0
2020,Average hourly earnings [8.5.1],,Craft and related trades workers,Number,,524.8
2021,Average hourly earnings [8.5.1],,Craft and related trades workers,Number,,629.2
2022,Average hourly earnings [8.5.1],,Craft and related trades workers,Number,,656.1
2023,Average hourly earnings [8.5.1],,Craft and related trades workers,Number,,755.9
2017,Average hourly earnings [8.5.1],,"Plant and machine operators, and assemblers",Number,,543.8
2018,Average hourly earnings [8.5.1],,"Plant and machine operators, and assemblers",Number,,590.8
2019,Average hourly earnings [8.5.1],,"Plant and machine operators, and assemblers",Number,,598.9
2020,Average hourly earnings [8.5.1],,"Plant and machine operators, and assemblers",Number,,558.7
2021,Average hourly earnings [8.5.1],,"Plant and machine operators, and assemblers",Number,,622.4
2022,Average hourly earnings [8.5.1],,"Plant and machine operators, and assemblers",Number,,769.5
2023,Average hourly earnings [8.5.1],,"Plant and machine operators, and assemblers",Number,,780.9
2017,Average hourly earnings [8.5.1],,Elementary occupations,Number,,162.3
2018,Average hourly earnings [8.5.1],,Elementary occupations,Number,,163.1
2019,Average hourly earnings [8.5.1],,Elementary occupations,Number,,165.6
2020,Average hourly earnings [8.5.1],,Elementary occupations,Number,,195.8
2021,Average hourly earnings [8.5.1],,Elementary occupations,Number,,196.0
2022,Average hourly earnings [8.5.1],,Elementary occupations,Number,,211.9
2023,Average hourly earnings [8.5.1],,Elementary occupations,Number,,252.5
