Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,29.5,,Percent,Percentage of VUP social transfers which benefit the poorest quintile
2017,26.6,,Percent,Percentage of VUP social transfers which benefit the poorest quintile
2024,20.0,,Percent,Percentage of VUP social transfers which benefit the poorest quintile
2000,12.8,,Percent,Percentage of medical consultations which benefit the poorest quintile
2005,12.3,,Percent,Percentage of medical consultations which benefit the poorest quintile
2011,14.0,,Percent,Percentage of medical consultations which benefit the poorest quintile
2014,16.4,,Percent,Percentage of medical consultations which benefit the poorest quintile
2017,17.1,,Percent,Percentage of medical consultations which benefit the poorest quintile
2024,17.2,,Percent,Percentage of medical consultations which benefit the poorest quintile
2011,18.1,,Percent,Percentage of population having ever attended school in the poorest quintile
2014,18.1,,Percent,Percentage of population having ever attended school in the poorest quintile
2017,18.1,,Percent,Percentage of population having ever attended school in the poorest quintile
2024,19.2,,Percent,Percentage of population having ever attended school in the poorest quintile
