Year,Value,Units,Series
2016,0.57,Percent,Age and sex distribution of detected victims of trafficking in persons (%)
2017,0.47,Percent,Age and sex distribution of detected victims of trafficking in persons (%)
2018,0.74,Percent,Age and sex distribution of detected victims of trafficking in persons (%)
2019,0.51,Percent,Age and sex distribution of detected victims of trafficking in persons (%)
2020,0.72,Percent,Age and sex distribution of detected victims of trafficking in persons (%)
2016,66.0,Number,Detected victims of human trafficking (number)
2017,55.0,Number,Detected victims of human trafficking (number)
2018,89.0,Number,Detected victims of human trafficking (number)
2019,63.0,Number,Detected victims of human trafficking (number)
2020,91.0,Number,Detected victims of human trafficking (number)
