Year,Value,GeoCode,UNIT_MEASURE,SERIES
2009,0.8,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2010,0.88,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2011,0.89,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2012,0.95,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2013,0.96,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2014,0.94,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2015,0.92,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2019,1.09,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2020,1.08,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2021,1.1,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2022,1.1,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2023,1.1,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
2024,1.51,,"Per 1,000 population","Health workers per 1,000 population [3.c.1]"
