Year,Value,GeoCode,UNIT_MEASURE,SERIES
2013,35,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2014,41,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2015,41,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2017,66,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2018,67,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2019,71,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2020,73,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2021,67,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2022,65,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2023,68,,Percent,International Health Regulations (IHR) capacity [3.d.1]
2024,55,,Percent,International Health Regulations (IHR) capacity [3.d.1]
