Year,Value,Series
2014,56.4,Proportion of Women deputies in national parliament
2016,64.0,Proportion of Women deputies in national parliament
2018,61.0,Proportion of Women deputies in national parliament
2014,38.5,Proportion of Women Senates in national parliament
2016,38.0,Proportion of Women Senates in national parliament
2018,38.0,Proportion of Women Senates in national parliament
2014,25.0,Proportion of Women Governors and Mayor of Kigali City in local government
2016,40.0,Proportion of Women Governors and Mayor of Kigali City in local government
2018,40.0,Proportion of Women Governors and Mayor of Kigali City in local government
2014,6.6,Proportion of Women District Mayors in local government
2016,16.7,Proportion of Women District Mayors in local government
2018,26.7,Proportion of Women District Mayors in local government
2016,20.0,Proportion of Women District Vice Mayors in Charge of Economic Affairs in local government
2018,16.7,Proportion of Women District Vice Mayors in Charge of Economic Affairs in local government
2016,76.7,Proportion of Women District Vice Mayors in Charge of Social Affairs in local government
2018,66.7,Proportion of Women District Vice Mayors in Charge of Social Affairs in local government
2014,44.8,Proportion of Women Districts Consultative Council in local government
2016,45.2,Proportion of Women Districts Consultative Council in local government
2018,45.2,Proportion of Women Districts Consultative Council in local government
2016,42.5,Proportion of Women Sectors Consultative Council in local government
2018,42.7,Proportion of Women Sectors Consultative Council in local government
2016,34.5,Proportion of Women Cells Consultative Council in local government
2018,41.6,Proportion of Women Cells Consultative Council in local government
2014,6.7,Proportion of Women District Executive Secretaries  in local government
2016,7.0,Proportion of Women District Executive Secretaries  in local government
2018,10.0,Proportion of Women District Executive Secretaries  in local government
2014,9.1,Proportion of Women Sector Executive Secretaries in local government
2016,11.0,Proportion of Women Sector Executive Secretaries in local government
2018,17.0,Proportion of Women Sector Executive Secretaries in local government
2014,37.7,Proportion of Women Cell Executive Secretaries in local government
2016,35.0,Proportion of Women Cell Executive Secretaries in local government
2018,36.0,Proportion of Women Cell Executive Secretaries in local government
