Year,Value,GeoCode,SERIES
2015,99.9,,Proportion of population covered by at least a 2G mobile network [9.c.1]
2016,99.9,,Proportion of population covered by at least a 2G mobile network [9.c.1]
2017,99.9,,Proportion of population covered by at least a 2G mobile network [9.c.1]
2018,99.9,,Proportion of population covered by at least a 2G mobile network [9.c.1]
2019,99.9,,Proportion of population covered by at least a 2G mobile network [9.c.1]
2022,99.9,,Proportion of population covered by at least a 2G mobile network [9.c.1]
2015,88.0,,Proportion of population covered by at least a 3G mobile network [9.c.1]
2016,92.1,,Proportion of population covered by at least a 3G mobile network [9.c.1]
2017,93.4,,Proportion of population covered by at least a 3G mobile network [9.c.1]
2018,93.4,,Proportion of population covered by at least a 3G mobile network [9.c.1]
2019,97.4,,Proportion of population covered by at least a 3G mobile network [9.c.1]
2022,93.4,,Proportion of population covered by at least a 3G mobile network [9.c.1]
2016,62.0,,Proportion of population covered by at least a 4G mobile network [9.c.1]
2017,89.0,,Proportion of population covered by at least a 4G mobile network [9.c.1]
2018,96.6,,Proportion of population covered by at least a 4G mobile network [9.c.1]
2019,98.9,,Proportion of population covered by at least a 4G mobile network [9.c.1]
2022,98.2,,Proportion of population covered by at least a 4G mobile network [9.c.1]
