Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2000,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,,PT,,58.9
2005,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,,PT,,56.7
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,,PT,,44.9
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,,PT,,39.1
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,,PT,,38.2
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,,PT,,27.4
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,M,Y_GE16,,PT,,33.2
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,M,Y_GE16,,PT,,31.6
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,M,Y_GE16,,PT,,24.9
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,F,Y_GE16,,PT,,35.9
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,F,Y_GE16,,PT,,34.8
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,F,Y_GE16,,PT,,25.4
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,M,Y0T14,,PT,,44.7
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,M,Y0T14,,PT,,44.2
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,M,Y0T14,,PT,,31.0
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,F,Y0T14,,PT,,44.6
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,F,Y0T14,,PT,,44.8
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,F,Y0T14,,PT,,29.9
2005,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,U,PT,,28.5
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,U,PT,,22.1
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,U,PT,,15.9
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,U,PT,,15.8
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,U,PT,,16.7
2005,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,R,PT,,61.9
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,R,PT,,48.7
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,R,PT,,43.7
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,R,PT,,43.1
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,,,,R,PT,,31.6
2000,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,1,,,,PT,1,22.7
2005,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,1,,,,PT,1,20.8
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,1,,,,PT,1,16.8
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,1,,,,PT,1,20.9
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,1,,,,PT,1,13.9
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,1,,,,PT,1,9.1
2000,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,2,,,,PT,2,65.5
2005,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,2,,,,PT,2,66.7
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,2,,,,PT,2,56.5
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,2,,,,PT,2,38.4
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,2,,,,PT,2,41.4
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,2,,,,PT,2,34.7
2000,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,3,,,,PT,3,62.3
2005,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,3,,,,PT,3,60.4
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,3,,,,PT,3,48.4
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,3,,,,PT,3,45.2
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,3,,,,PT,3,47.1
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,3,,,,PT,3,37.4
2000,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,4,,,,PT,4,64.2
2005,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,4,,,,PT,4,60.5
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,4,,,,PT,4,42.8
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,4,,,,PT,4,45.9
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,4,,,,PT,4,42.3
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,4,,,,PT,4,20.2
2000,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,5,,,,PT,5,59.3
2005,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,5,,,,PT,5,52.1
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,5,,,,PT,5,42.6
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,5,,,,PT,5,38.0
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,5,,,,PT,5,37.4
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,5,,,,PT,5,26.8
