Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2006,SG_XPD_ESSRV,,PT,,31.8
2007,SG_XPD_ESSRV,,PT,,30.3
2008,SG_XPD_ESSRV,,PT,,27.4
2009,SG_XPD_ESSRV,,PT,,27.0
2010,SG_XPD_ESSRV,,PT,,31.2
2011,SG_XPD_ESSRV,,PT,,29.9
2012,SG_XPD_ESSRV,,PT,,29.2
2013,SG_XPD_ESSRV,,PT,,27.2
2014,SG_XPD_ESSRV,,PT,,27.5
2015,SG_XPD_ESSRV,,PT,,28.0
2016,SG_XPD_ESSRV,,PT,,27.6
2017,SG_XPD_ESSRV,,PT,,25.2
2018,SG_XPD_ESSRV,,PT,,25.0
2019,SG_XPD_ESSRV,,PT,,25.2
2020,SG_XPD_ESSRV,,PT,,23.4
2021,SG_XPD_ESSRV,,PT,,27.2
2022,SG_XPD_ESSRV,,PT,,24.2
2023,SG_XPD_ESSRV,,PT,,26.0
2024,SG_XPD_ESSRV,,PT,,26.6
2025,SG_XPD_ESSRV,,PT,,24.8
2026,SG_XPD_ESSRV,,PT,,22.6
2006,SG_XPD_HLTH,,PT,,8.8
2007,SG_XPD_HLTH,,PT,,9.1
2008,SG_XPD_HLTH,,PT,,9.6
2009,SG_XPD_HLTH,,PT,,9.7
2010,SG_XPD_HLTH,,PT,,9.6
2011,SG_XPD_HLTH,,PT,,9.9
2012,SG_XPD_HLTH,,PT,,10.7
2013,SG_XPD_HLTH,,PT,,10.8
2014,SG_XPD_HLTH,,PT,,9.2
2015,SG_XPD_HLTH,,PT,,11.4
2016,SG_XPD_HLTH,,PT,,11.3
2017,SG_XPD_HLTH,,PT,,9.7
2018,SG_XPD_HLTH,,PT,,9.3
2019,SG_XPD_HLTH,,PT,,9.0
2020,SG_XPD_HLTH,,PT,,8.1
2021,SG_XPD_HLTH,,PT,,8.1
2022,SG_XPD_HLTH,,PT,,9.8
2023,SG_XPD_HLTH,,PT,,7.5
2024,SG_XPD_HLTH,,PT,,7.0
2025,SG_XPD_HLTH,,PT,,7.1
2026,SG_XPD_HLTH,,PT,,6.8
2006,SG_XPD_PROT,,PT,,5.1
2007,SG_XPD_PROT,,PT,,2.8
2008,SG_XPD_PROT,,PT,,2.5
2009,SG_XPD_PROT,,PT,,2.9
2010,SG_XPD_PROT,,PT,,4.3
2011,SG_XPD_PROT,,PT,,4.1
2012,SG_XPD_PROT,,PT,,2.5
2013,SG_XPD_PROT,,PT,,3.0
2014,SG_XPD_PROT,,PT,,4.4
2015,SG_XPD_PROT,,PT,,4.4
2016,SG_XPD_PROT,,PT,,4.1
2017,SG_XPD_PROT,,PT,,4.2
2018,SG_XPD_PROT,,PT,,4.3
2019,SG_XPD_PROT,,PT,,5.5
2020,SG_XPD_PROT,,PT,,4.9
2021,SG_XPD_PROT,,PT,,5.0
2022,SG_XPD_PROT,,PT,,3.7
2023,SG_XPD_PROT,,PT,,4.5
2024,SG_XPD_PROT,,PT,,4.7
2025,SG_XPD_PROT,,PT,,4.0
2026,SG_XPD_PROT,,PT,,3.6
2006,SD_XPD_EDUC,,PT,,17.9
2007,SD_XPD_EDUC,,PT,,18.4
2008,SD_XPD_EDUC,,PT,,15.3
2009,SD_XPD_EDUC,,PT,,14.4
2010,SD_XPD_EDUC,,PT,,17.2
2011,SD_XPD_EDUC,,PT,,15.8
2012,SD_XPD_EDUC,,PT,,16.0
2013,SD_XPD_EDUC,,PT,,13.4
2014,SD_XPD_EDUC,,PT,,14.0
2015,SD_XPD_EDUC,,PT,,12.2
2016,SD_XPD_EDUC,,PT,,12.2
2017,SD_XPD_EDUC,,PT,,11.3
2018,SD_XPD_EDUC,,PT,,11.4
2019,SD_XPD_EDUC,,PT,,10.8
2020,SD_XPD_EDUC,,PT,,10.4
2021,SD_XPD_EDUC,,PT,,14.0
2022,SD_XPD_EDUC,,PT,,10.7
2023,SD_XPD_EDUC,,PT,,14.0
2024,SD_XPD_EDUC,,PT,,14.9
2025,SD_XPD_EDUC,,PT,,13.7
2026,SD_XPD_EDUC,,PT,,12.2
