Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2011,EN_REF_COLDIS,,,PT,,6.9
2014,EN_REF_COLDIS,,,PT,,7.7
2017,EN_REF_COLDIS,,,PT,,10.3
2021,EN_REF_COLDIS,,,PT,,12.1
2024,EN_REF_COLDIS,,,PT,,12.7
2011,EN_REF_COLDIS,,U,PT,,37.9
2014,EN_REF_COLDIS,,U,PT,,39.3
2017,EN_REF_COLDIS,,U,PT,,46.3
2024,EN_REF_COLDIS,,U,PT,,39.4
2011,EN_REF_COLDIS,,R,PT,,1.4
2014,EN_REF_COLDIS,,R,PT,,1.2
2017,EN_REF_COLDIS,,R,PT,,1.7
2024,EN_REF_COLDIS,,R,PT,,1.7
2011,EN_REF_COLDIS,23,,PT,23,1.7
2014,EN_REF_COLDIS,23,,PT,23,0.8
2017,EN_REF_COLDIS,23,,PT,23,1.1
2024,EN_REF_COLDIS,23,,PT,23,1.4
2011,EN_REF_COLDIS,36,,PT,36,6.7
2014,EN_REF_COLDIS,36,,PT,36,5.1
2017,EN_REF_COLDIS,36,,PT,36,4.2
2024,EN_REF_COLDIS,36,,PT,36,3.4
2011,EN_REF_COLDIS,25,,PT,25,0.4
2014,EN_REF_COLDIS,25,,PT,25,0.2
2017,EN_REF_COLDIS,25,,PT,25,1.0
2024,EN_REF_COLDIS,25,,PT,25,2.1
2011,EN_REF_COLDIS,37,,PT,37,1.7
2014,EN_REF_COLDIS,37,,PT,37,0.6
2017,EN_REF_COLDIS,37,,PT,37,1.7
2024,EN_REF_COLDIS,37,,PT,37,0.8
2011,EN_REF_COLDIS,54,,PT,54,1.2
2014,EN_REF_COLDIS,54,,PT,54,4.1
2017,EN_REF_COLDIS,54,,PT,54,1.3
2024,EN_REF_COLDIS,54,,PT,54,6.3
2011,EN_REF_COLDIS,53,,PT,53,0.5
2014,EN_REF_COLDIS,53,,PT,53,2.4
2017,EN_REF_COLDIS,53,,PT,53,1.2
2024,EN_REF_COLDIS,53,,PT,53,1.0
2011,EN_REF_COLDIS,43,,PT,43,1.2
2014,EN_REF_COLDIS,43,,PT,43,4.2
2017,EN_REF_COLDIS,43,,PT,43,6.8
2024,EN_REF_COLDIS,43,,PT,43,12.5
2011,EN_REF_COLDIS,52,,PT,52,6.8
2014,EN_REF_COLDIS,52,,PT,52,6.1
2017,EN_REF_COLDIS,52,,PT,52,5.5
2024,EN_REF_COLDIS,52,,PT,52,5.2
2011,EN_REF_COLDIS,32,,PT,32,1.6
2014,EN_REF_COLDIS,32,,PT,32,0.8
2017,EN_REF_COLDIS,32,,PT,32,2.3
2024,EN_REF_COLDIS,32,,PT,32,2.7
2011,EN_REF_COLDIS,31,,PT,31,1.2
2014,EN_REF_COLDIS,31,,PT,31,1.3
2017,EN_REF_COLDIS,31,,PT,31,2.3
2024,EN_REF_COLDIS,31,,PT,31,3.2
2011,EN_REF_COLDIS,34,,PT,34,2.6
2014,EN_REF_COLDIS,34,,PT,34,0.6
