Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,,PT,,28.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,,PT,,30.4
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,23,PT,23,48.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,23,PT,23,55.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,36,PT,36,48.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,36,PT,36,53.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,25,PT,25,45.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,25,PT,25,50.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,37,PT,37,44.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,37,PT,37,48.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,54,PT,54,52.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,54,PT,54,45.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,53,PT,53,43.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,53,PT,53,43.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,43,PT,43,30.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,43,PT,43,36.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,52,PT,52,41.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,52,PT,52,35.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,32,PT,32,20.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,32,PT,32,30.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,31,PT,31,26.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,31,PT,31,30.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,34,PT,34,22.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,34,PT,34,28.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,45,PT,45,20.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,45,PT,45,28.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,27,PT,27,21.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,27,PT,27,26.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,41,PT,41,21.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,41,PT,41,26.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,42,PT,42,21.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,42,PT,42,25.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,24,PT,24,20.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,24,PT,24,25.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,35,PT,35,17.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,35,PT,35,22.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,11,PT,11,20.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,11,PT,11,21.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,44,PT,44,14.0
