Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,VC_PRS_UNSNT,,PT,,5.0
2016,VC_PRS_UNSNT,,PT,,5.0
2017,VC_PRS_UNSNT,,PT,,6.0
2018,VC_PRS_UNSNT,,PT,,6.0
2019,VC_PRS_UNSNT,,PT,,9.0
2020,VC_PRS_UNSNT,,PT,,14.0
2021,VC_PRS_UNSNT,,PT,,10.9
2022,VC_PRS_UNSNT,,PT,,13.6
2016,VC_PRS_UNSNTN,,NUMBER,,2543.0
2017,VC_PRS_UNSNTN,,NUMBER,,3675.0
2018,VC_PRS_UNSNTN,,NUMBER,,3715.0
2019,VC_PRS_UNSNTN,,NUMBER,,6373.0
2020,VC_PRS_UNSNTN,,NUMBER,,6373.0
2021,VC_PRS_UNSNTN,,NUMBER,,9697.0
2022,VC_PRS_UNSNTN,,NUMBER,,12239.0
