Year,COMMENT_OBS,Series,Sex,Value
2005,Proportion of children moderately or severely wasted,Proportion of children moderately or severely wasted [2.2.2],,5.0
2010,Proportion of children moderately or severely wasted,Proportion of children moderately or severely wasted [2.2.2],,3.0
2015,Proportion of children moderately or severely wasted,Proportion of children moderately or severely wasted [2.2.2],,2.0
2020,Proportion of children moderately or severely wasted,Proportion of children moderately or severely wasted [2.2.2],,1.1
2015,Proportion of children moderately or severely wasted,Proportion of children moderately or severely wasted [2.2.2],Male,2.4
2020,Proportion of children moderately or severely wasted,Proportion of children moderately or severely wasted [2.2.2],Male,0.9
2015,Proportion of children moderately or severely wasted,Proportion of children moderately or severely wasted [2.2.2],Female,2.0
2020,Proportion of children moderately or severely wasted,Proportion of children moderately or severely wasted [2.2.2],Female,1.4
2010,Proportion of children moderately or severely overweight,Proportion of children moderately or severely overweight [2.2.2],,7.0
2015,Proportion of children moderately or severely overweight,Proportion of children moderately or severely overweight [2.2.2],,8.0
2020,Proportion of children moderately or severely overweight,Proportion of children moderately or severely overweight [2.2.2],,5.6
2015,Proportion of children moderately or severely overweight,Proportion of children moderately or severely overweight [2.2.2],Male,8.1
2020,Proportion of children moderately or severely overweight,Proportion of children moderately or severely overweight [2.2.2],Male,5.8
2015,Proportion of children moderately or severely overweight,Proportion of children moderately or severely overweight [2.2.2],Female,7.3
2020,Proportion of children moderately or severely overweight,Proportion of children moderately or severely overweight [2.2.2],Female,5.4
