Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2000,SH_STA_ANEM,,F,Y15T49,PT,,21.1
2001,SH_STA_ANEM,,F,Y15T49,PT,,20.2
2002,SH_STA_ANEM,,F,Y15T49,PT,,19.4
2003,SH_STA_ANEM,,F,Y15T49,PT,,18.6
2004,SH_STA_ANEM,,F,Y15T49,PT,,17.9
2005,SH_STA_ANEM,,F,Y15T49,PT,,17.2
2006,SH_STA_ANEM,,F,Y15T49,PT,,16.5
2007,SH_STA_ANEM,,F,Y15T49,PT,,15.9
2008,SH_STA_ANEM,,F,Y15T49,PT,,15.3
2009,SH_STA_ANEM,,F,Y15T49,PT,,14.8
2010,SH_STA_ANEM,,F,Y15T49,PT,,14.4
2011,SH_STA_ANEM,,F,Y15T49,PT,,14.2
2012,SH_STA_ANEM,,F,Y15T49,PT,,14.1
2013,SH_STA_ANEM,,F,Y15T49,PT,,14.1
2014,SH_STA_ANEM,,F,Y15T49,PT,,14.2
2015,SH_STA_ANEM,,F,Y15T49,PT,,14.3
2016,SH_STA_ANEM,,F,Y15T49,PT,,14.4
2017,SH_STA_ANEM,,F,Y15T49,PT,,14.4
2018,SH_STA_ANEM,,F,Y15T49,PT,,14.5
2019,SH_STA_ANEM,,F,Y15T49,PT,,14.6
2020,SH_STA_ANEM,,F,Y15T49,PT,,14.7
2021,SH_STA_ANEM,,F,Y15T49,PT,,15.0
2022,SH_STA_ANEM,,F,Y15T49,PT,,15.4
2023,SH_STA_ANEM,,F,Y15T49,PT,,16.1
2000,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,20.1
2001,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,19.2
2002,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,18.4
2003,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,17.7
2004,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,17.0
2005,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,16.3
2006,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,15.6
2007,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,15.0
2008,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,14.5
2009,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,14.0
2010,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.6
2011,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.4
2012,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.3
2013,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.3
2014,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.4
2015,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.5
2016,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.6
2017,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.7
2018,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.8
2019,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,13.9
2020,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,14.1
2021,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,14.4
2022,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,14.8
2023,SH_STA_ANEM_NPRG,,F,Y15T49,PT,,15.5
2000,SH_STA_ANEM_PREG,,F,Y15T49,PT,,29.8
2001,SH_STA_ANEM_PREG,,F,Y15T49,PT,,28.9
2002,SH_STA_ANEM_PREG,,F,Y15T49,PT,,28.0
2003,SH_STA_ANEM_PREG,,F,Y15T49,PT,,27.2
2004,SH_STA_ANEM_PREG,,F,Y15T49,PT,,26.4
2005,SH_STA_ANEM_PREG,,F,Y15T49,PT,,25.5
2006,SH_STA_ANEM_PREG,,F,Y15T49,PT,,24.8
2007,SH_STA_ANEM_PREG,,F,Y15T49,PT,,24.0
2008,SH_STA_ANEM_PREG,,F,Y15T49,PT,,23.4
2009,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.9
2010,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.5
2011,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.3
2012,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.3
2013,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.4
2014,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.5
2015,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.6
2016,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.7
2017,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.8
2018,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.8
2019,SH_STA_ANEM_PREG,,F,Y15T49,PT,,22.9
2020,SH_STA_ANEM_PREG,,F,Y15T49,PT,,23.0
2021,SH_STA_ANEM_PREG,,F,Y15T49,PT,,23.2
2022,SH_STA_ANEM_PREG,,F,Y15T49,PT,,23.5
2023,SH_STA_ANEM_PREG,,F,Y15T49,PT,,23.9
