Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2005,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),"DHS, RBC",SH_ACS_DTP3,,,M12T23,PT,,75.0
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),"DHS, RBC",SH_ACS_DTP3,,,M12T23,PT,,80.0
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),"DHS, RBC",SH_ACS_DTP3,,,M12T23,PT,,90.0
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),"DHS, RBC",SH_ACS_DTP3,,,M12T23,PT,,93.0
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),"DHS, RBC",SH_ACS_DTP3,,,M12T23,PT,,97.0
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),"DHS, RBC",SH_ACS_DTP3,,,M12T23,PT,,98.0
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),"DHS, RBC",SH_ACS_DTP3,,,M12T23,PT,,99.0
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),DHS,SH_ACS_DTP3,,M,M12T23,PT,,98.7
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),DHS,SH_ACS_DTP3,,F,M12T23,PT,,99.3
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),DHS,SH_ACS_MCV2,,,,PT,,92.0
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),DHS,SH_ACS_MCV2,,,,PT,,92.0
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),DHS,SH_ACS_MCV2,,,,PT,,93.8
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),DHS,SH_ACS_MCV2,,M,,PT,,93.1
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),DHS,SH_ACS_MCV2,,F,,PT,,94.5
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),"DHS, RBC",SH_ACS_PCV3,,,,PT,,97.0
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),"DHS, RBC",SH_ACS_PCV3,,,,PT,,98.0
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),"DHS, RBC",SH_ACS_PCV3,,,,PT,,98.8
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),DHS,SH_ACS_PCV3,,M,,PT,,98.5
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),DHS,SH_ACS_PCV3,,F,,PT,,99.2
