Year,SERIES,REF_AREA,OCCUPATION,UNIT_MEASURE,GeoCode,Value
2009,SH_MED_DEN,,,PER_1000_POP,,0.8
2010,SH_MED_DEN,,,PER_1000_POP,,0.88
2011,SH_MED_DEN,,,PER_1000_POP,,0.89
2012,SH_MED_DEN,,,PER_1000_POP,,0.95
2013,SH_MED_DEN,,,PER_1000_POP,,0.96
2014,SH_MED_DEN,,,PER_1000_POP,,0.94
2015,SH_MED_DEN,,,PER_1000_POP,,0.92
2019,SH_MED_DEN,,,PER_1000_POP,,1.09
2020,SH_MED_DEN,,,PER_1000_POP,,1.08
2021,SH_MED_DEN,,,PER_1000_POP,,1.1
2022,SH_MED_DEN,,,PER_1000_POP,,1.1
2023,SH_MED_DEN,,,PER_1000_POP,,1.1
2024,SH_MED_DEN,,,PER_1000_POP,,1.51
2009,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.06
2010,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.06
2011,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.06
2012,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.07
2013,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.06
2014,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.06
2015,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.07
2016,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.1
2019,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.12
2020,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.12
2021,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.12
2022,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.15
2023,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.14
2024,SH_MED_DEN,,ISCO08_221,PER_1000_POP,,0.19
2009,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.74
2010,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.8
2011,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.81
2012,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.84
2013,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.84
2014,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.81
2015,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.78
2016,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.91
2019,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.7
2020,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.83
2021,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.86
2022,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.85
2023,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,0.89
2024,SH_MED_DEN,,ISCO08_222_322_1,PER_1000_POP,,1.14
2012,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.17
2013,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.23
2014,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.25
2015,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.32
2016,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.25
2019,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.35
2020,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.43
2021,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.43
2022,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.44
2023,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.5
2024,SH_MED_DEN,,ISCO08_222_322_2,PER_1000_POP,,0.64
2009,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2010,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2011,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2012,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2013,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2014,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2015,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2016,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.06
2019,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2020,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2021,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2022,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.01
2023,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.0
2024,SH_MED_DEN,,ISCO08_2262,PER_1000_POP,,0.1
2012,SH_MED_DEN,,ISCO08_2261,PER_1000_POP,,0.01
2013,SH_MED_DEN,,ISCO08_2261,PER_1000_POP,,0.01
2014,SH_MED_DEN,,ISCO08_2261,PER_1000_POP,,0.01
2015,SH_MED_DEN,,ISCO08_2261,PER_1000_POP,,0.01
2019,SH_MED_DEN,,ISCO08_2261,PER_1000_POP,,0.02
2020,SH_MED_DEN,,ISCO08_2261,PER_1000_POP,,0.02
2021,SH_MED_DEN,,ISCO08_2261,PER_1000_POP,,0.02
2022,SH_MED_DEN,,ISCO08_2261,PER_1000_POP,,0.02
2023,SH_MED_DEN,,ISCO08_2261,PER_1000_POP,,0.02
