Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2013,SH_IHR_CAPS,,,PT,,35
2014,SH_IHR_CAPS,,,PT,,41
2015,SH_IHR_CAPS,,,PT,,41
2017,SH_IHR_CAPS,,,PT,,66
2018,SH_IHR_CAPS,,,PT,,67
2019,SH_IHR_CAPS,,,PT,,71
2020,SH_IHR_CAPS,,,PT,,73
2021,SH_IHR_CAPS,,,PT,,67
2022,SH_IHR_CAPS,,,PT,,65
2023,SH_IHR_CAPS,,,PT,,68
2024,SH_IHR_CAPS,,,PT,,55
2013,SH_IHR_CAPS,,IHR_01,PT,,0
2014,SH_IHR_CAPS,,IHR_01,PT,,25
2015,SH_IHR_CAPS,,IHR_01,PT,,0
2017,SH_IHR_CAPS,,IHR_01,PT,,25
2018,SH_IHR_CAPS,,IHR_01,PT,,93
2019,SH_IHR_CAPS,,IHR_01,PT,,93
2020,SH_IHR_CAPS,,IHR_01,PT,,93
2021,SH_IHR_CAPS,,IHR_01,PT,,50
2022,SH_IHR_CAPS,,IHR_01,PT,,20
2023,SH_IHR_CAPS,,IHR_01,PT,,50
2024,SH_IHR_CAPS,,IHR_01,PT,,20
2013,SH_IHR_CAPS,,IHR_02,PT,,16
2014,SH_IHR_CAPS,,IHR_02,PT,,26
2015,SH_IHR_CAPS,,IHR_02,PT,,10
2017,SH_IHR_CAPS,,IHR_02,PT,,73
2018,SH_IHR_CAPS,,IHR_02,PT,,90
2019,SH_IHR_CAPS,,IHR_02,PT,,90
2020,SH_IHR_CAPS,,IHR_02,PT,,90
2021,SH_IHR_CAPS,,IHR_02,PT,,60
2022,SH_IHR_CAPS,,IHR_02,PT,,60
2023,SH_IHR_CAPS,,IHR_02,PT,,73
2024,SH_IHR_CAPS,,IHR_02,PT,,73
2013,SH_IHR_CAPS,,IHR_03,PT,,0
2014,SH_IHR_CAPS,,IHR_03,PT,,25
2015,SH_IHR_CAPS,,IHR_03,PT,,0
2017,SH_IHR_CAPS,,IHR_03,PT,,25
2018,SH_IHR_CAPS,,IHR_03,PT,,93
2019,SH_IHR_CAPS,,IHR_03,PT,,93
2020,SH_IHR_CAPS,,IHR_03,PT,,93
2021,SH_IHR_CAPS,,IHR_03,PT,,70
2022,SH_IHR_CAPS,,IHR_03,PT,,80
2023,SH_IHR_CAPS,,IHR_03,PT,,100
2024,SH_IHR_CAPS,,IHR_03,PT,,60
2013,SH_IHR_CAPS,,IHR_04,PT,,96
2014,SH_IHR_CAPS,,IHR_04,PT,,100
2015,SH_IHR_CAPS,,IHR_04,PT,,96
2017,SH_IHR_CAPS,,IHR_04,PT,,96
2018,SH_IHR_CAPS,,IHR_04,PT,,93
2019,SH_IHR_CAPS,,IHR_04,PT,,93
2020,SH_IHR_CAPS,,IHR_04,PT,,93
2021,SH_IHR_CAPS,,IHR_04,PT,,84
2022,SH_IHR_CAPS,,IHR_04,PT,,64
2023,SH_IHR_CAPS,,IHR_04,PT,,72
2024,SH_IHR_CAPS,,IHR_04,PT,,72
2013,SH_IHR_CAPS,,IHR_05,PT,,80
2014,SH_IHR_CAPS,,IHR_05,PT,,85
2015,SH_IHR_CAPS,,IHR_05,PT,,90
2017,SH_IHR_CAPS,,IHR_05,PT,,80
2018,SH_IHR_CAPS,,IHR_05,PT,,70
2019,SH_IHR_CAPS,,IHR_05,PT,,70
2020,SH_IHR_CAPS,,IHR_05,PT,,60
2021,SH_IHR_CAPS,,IHR_05,PT,,80
2022,SH_IHR_CAPS,,IHR_05,PT,,80
2023,SH_IHR_CAPS,,IHR_05,PT,,80
2024,SH_IHR_CAPS,,IHR_05,PT,,80
2013,SH_IHR_CAPS,,IHR_06,PT,,40
2014,SH_IHR_CAPS,,IHR_06,PT,,40
2015,SH_IHR_CAPS,,IHR_06,PT,,60
2017,SH_IHR_CAPS,,IHR_06,PT,,60
2018,SH_IHR_CAPS,,IHR_06,PT,,40
2019,SH_IHR_CAPS,,IHR_06,PT,,60
2020,SH_IHR_CAPS,,IHR_06,PT,,80
2021,SH_IHR_CAPS,,IHR_06,PT,,50
2022,SH_IHR_CAPS,,IHR_06,PT,,40
2023,SH_IHR_CAPS,,IHR_06,PT,,40
2024,SH_IHR_CAPS,,IHR_06,PT,,30
2013,SH_IHR_CAPS,,IHR_07,PT,,40
2014,SH_IHR_CAPS,,IHR_07,PT,,49
2015,SH_IHR_CAPS,,IHR_07,PT,,49
2017,SH_IHR_CAPS,,IHR_07,PT,,82
2018,SH_IHR_CAPS,,IHR_07,PT,,40
2019,SH_IHR_CAPS,,IHR_07,PT,,47
2020,SH_IHR_CAPS,,IHR_07,PT,,60
2021,SH_IHR_CAPS,,IHR_07,PT,,60
2022,SH_IHR_CAPS,,IHR_07,PT,,60
2023,SH_IHR_CAPS,,IHR_07,PT,,87
2024,SH_IHR_CAPS,,IHR_07,PT,,73
2018,SH_IHR_CAPS,,IHR_08,PT,,67
2019,SH_IHR_CAPS,,IHR_08,PT,,67
2020,SH_IHR_CAPS,,IHR_08,PT,,80
2021,SH_IHR_CAPS,,IHR_08,PT,,27
2022,SH_IHR_CAPS,,IHR_08,PT,,53
2023,SH_IHR_CAPS,,IHR_08,PT,,53
2024,SH_IHR_CAPS,,IHR_08,PT,,53
2021,SH_IHR_CAPS,,IHR_09,PT,,60
2022,SH_IHR_CAPS,,IHR_09,PT,,60
2023,SH_IHR_CAPS,,IHR_09,PT,,60
2024,SH_IHR_CAPS,,IHR_09,PT,,40
2013,SH_IHR_CAPS,,IHR_10,PT,,57
2014,SH_IHR_CAPS,,IHR_10,PT,,71
2015,SH_IHR_CAPS,,IHR_10,PT,,71
2017,SH_IHR_CAPS,,IHR_10,PT,,43
2018,SH_IHR_CAPS,,IHR_10,PT,,100
2019,SH_IHR_CAPS,,IHR_10,PT,,100
2020,SH_IHR_CAPS,,IHR_10,PT,,80
2021,SH_IHR_CAPS,,IHR_10,PT,,87
2022,SH_IHR_CAPS,,IHR_10,PT,,80
2023,SH_IHR_CAPS,,IHR_10,PT,,80
2024,SH_IHR_CAPS,,IHR_10,PT,,80
2013,SH_IHR_CAPS,,IHR_11,PT,,3
2014,SH_IHR_CAPS,,IHR_11,PT,,3
2015,SH_IHR_CAPS,,IHR_11,PT,,6
2017,SH_IHR_CAPS,,IHR_11,PT,,66
2018,SH_IHR_CAPS,,IHR_11,PT,,40
2019,SH_IHR_CAPS,,IHR_11,PT,,40
2020,SH_IHR_CAPS,,IHR_11,PT,,50
2021,SH_IHR_CAPS,,IHR_11,PT,,60
2022,SH_IHR_CAPS,,IHR_11,PT,,53
2023,SH_IHR_CAPS,,IHR_11,PT,,60
2024,SH_IHR_CAPS,,IHR_11,PT,,67
2013,SH_IHR_CAPS,,IHR_12,PT,,44
2014,SH_IHR_CAPS,,IHR_12,PT,,44
2015,SH_IHR_CAPS,,IHR_12,PT,,56
2017,SH_IHR_CAPS,,IHR_12,PT,,100
2018,SH_IHR_CAPS,,IHR_12,PT,,80
2019,SH_IHR_CAPS,,IHR_12,PT,,80
2020,SH_IHR_CAPS,,IHR_12,PT,,60
2021,SH_IHR_CAPS,,IHR_12,PT,,80
2022,SH_IHR_CAPS,,IHR_12,PT,,80
2023,SH_IHR_CAPS,,IHR_12,PT,,60
2024,SH_IHR_CAPS,,IHR_12,PT,,60
2013,SH_IHR_CAPS,,IHR_13,PT,,33
2014,SH_IHR_CAPS,,IHR_13,PT,,27
2015,SH_IHR_CAPS,,IHR_13,PT,,27
2017,SH_IHR_CAPS,,IHR_13,PT,,60
2018,SH_IHR_CAPS,,IHR_13,PT,,80
2019,SH_IHR_CAPS,,IHR_13,PT,,100
2020,SH_IHR_CAPS,,IHR_13,PT,,40
2021,SH_IHR_CAPS,,IHR_13,PT,,80
2022,SH_IHR_CAPS,,IHR_13,PT,,80
2023,SH_IHR_CAPS,,IHR_13,PT,,80
2024,SH_IHR_CAPS,,IHR_13,PT,,40
2013,SH_IHR_CAPS,,IHR_14,PT,,8
2014,SH_IHR_CAPS,,IHR_14,PT,,8
2015,SH_IHR_CAPS,,IHR_14,PT,,8
2017,SH_IHR_CAPS,,IHR_14,PT,,54
2018,SH_IHR_CAPS,,IHR_14,PT,,40
2019,SH_IHR_CAPS,,IHR_14,PT,,40
2020,SH_IHR_CAPS,,IHR_14,PT,,80
2021,SH_IHR_CAPS,,IHR_14,PT,,80
2022,SH_IHR_CAPS,,IHR_14,PT,,80
2023,SH_IHR_CAPS,,IHR_14,PT,,80
2024,SH_IHR_CAPS,,IHR_14,PT,,40
2013,SH_IHR_CAPS,,IHR_15,PT,,0
2014,SH_IHR_CAPS,,IHR_15,PT,,8
2015,SH_IHR_CAPS,,IHR_15,PT,,8
2017,SH_IHR_CAPS,,IHR_15,PT,,38
2018,SH_IHR_CAPS,,IHR_15,PT,,40
2019,SH_IHR_CAPS,,IHR_15,PT,,40
2020,SH_IHR_CAPS,,IHR_15,PT,,80
2021,SH_IHR_CAPS,,IHR_15,PT,,80
2022,SH_IHR_CAPS,,IHR_15,PT,,80
2023,SH_IHR_CAPS,,IHR_15,PT,,40
2024,SH_IHR_CAPS,,IHR_15,PT,,40
