Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2011,_L_RW_040101_KR,,,ISCED11A_0_G23,PT,,63.0
2017,_L_RW_040101_KR,,,ISCED11A_0_G23,PT,,54.9
2021,_L_RW_040101_KR,,,ISCED11A_0_G23,PT,,68.0
2023,_L_RW_040101_KR,,,ISCED11A_0_G23,PT,,68.5
2023,_L_RW_040101_KR,,M,ISCED11A_0_G23,PT,,68.0
2023,_L_RW_040101_KR,,F,ISCED11A_0_G23,PT,,69.0
2021,_L_RW_040101_ER,,,ISCED11A_0_G23,PT,,10.08
2023,_L_RW_040101_ER,,,ISCED11A_0_G23,PT,,49.4
2021,_L_RW_040101_ER,,M,ISCED11A_0_G23,PT,,12.69
2023,_L_RW_040101_ER,,M,ISCED11A_0_G23,PT,,50.0
2021,_L_RW_040101_ER,,F,ISCED11A_0_G23,PT,,7.5
2023,_L_RW_040101_ER,,F,ISCED11A_0_G23,PT,,49.0
2017,_L_RW_040101_ER,,,ISCED11A_1,PT,,56.4
2021,_L_RW_040101_ER,,,ISCED11A_1,PT,,38.55
2023,_L_RW_040101_ER,,,ISCED11A_1,PT,,60.7
2021,_L_RW_040101_ER,,M,ISCED11A_1,PT,,40.9
2023,_L_RW_040101_ER,,M,ISCED11A_1,PT,,62.0
2021,_L_RW_040101_ER,,F,ISCED11A_1,PT,,36.22
2023,_L_RW_040101_ER,,F,ISCED11A_1,PT,,60.0
2017,_L_RW_040101_ER,,,ISCED11A_2,PT,,71.3
2021,_L_RW_040101_ER,,,ISCED11A_2,PT,,42.78
2023,_L_RW_040101_ER,,,ISCED11A_2,PT,,47.15
2021,_L_RW_040101_ER,,M,ISCED11A_2,PT,,52.59
2023,_L_RW_040101_ER,,M,ISCED11A_2,PT,,51.0
2021,_L_RW_040101_ER,,F,ISCED11A_2,PT,,32.9
2023,_L_RW_040101_ER,,F,ISCED11A_2,PT,,40.0
2011,_L_RW_040101_MA,,,ISCED11A_0_G23,PT,,54.0
2017,_L_RW_040101_MA,,,ISCED11A_0_G23,PT,,40.7
2021,_L_RW_040101_MA,,,ISCED11A_0_G23,PT,,60.94
2023,_L_RW_040101_MA,,,ISCED11A_0_G23,PT,,75.2
2021,_L_RW_040101_MA,,M,ISCED11A_0_G23,PT,,63.36
2023,_L_RW_040101_MA,,M,ISCED11A_0_G23,PT,,75.0
2021,_L_RW_040101_MA,,F,ISCED11A_0_G23,PT,,58.54
2023,_L_RW_040101_MA,,F,ISCED11A_0_G23,PT,,75.0
2017,_L_RW_040101_MA,,,ISCED11A_1,PT,,59.0
2021,_L_RW_040101_MA,,,ISCED11A_1,PT,,32.14
2023,_L_RW_040101_MA,,,ISCED11A_1,PT,,68.25
2021,_L_RW_040101_MA,,M,ISCED11A_1,PT,,33.24
2023,_L_RW_040101_MA,,M,ISCED11A_1,PT,,69.0
2021,_L_RW_040101_MA,,F,ISCED11A_1,PT,,31.05
2023,_L_RW_040101_MA,,F,ISCED11A_1,PT,,67.0
2017,_L_RW_040101_MA,,,ISCED11A_2,PT,,78.8
2021,_L_RW_040101_MA,,,ISCED11A_2,PT,,41.51
2023,_L_RW_040101_MA,,,ISCED11A_2,PT,,63.77
2021,_L_RW_040101_MA,,M,ISCED11A_2,PT,,47.26
2023,_L_RW_040101_MA,,M,ISCED11A_2,PT,,67.0
2021,_L_RW_040101_MA,,F,ISCED11A_2,PT,,35.77
2023,_L_RW_040101_MA,,F,ISCED11A_2,PT,,60.0
