Year,SERIES,REF_AREA,SEX,AGE,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2016,SE_DEV_ONTRK,,,M36T59,ISCED97_0,PT,,63.1
2020,SE_DEV_ONTRK,,,M36T59,ISCED97_0,PT,,76.0
2016,SE_DEV_ONTRK,,M,M36T59,ISCED97_0,PT,,62.6
2020,SE_DEV_ONTRK,,M,M36T59,ISCED97_0,PT,,74.1
2016,SE_DEV_ONTRK,,F,M36T59,ISCED97_0,PT,,63.6
2020,SE_DEV_ONTRK,,F,M36T59,ISCED97_0,PT,,77.9
2016,_L_RW_040201_1,,,Y0T4,ISCED97_0,PT,,7.0
2020,_L_RW_040201_1,,,Y0T4,ISCED97_0,PT,,11.0
2016,_L_RW_040201_1,,M,Y0T4,ISCED97_0,PT,,6.3
2020,_L_RW_040201_1,,M,Y0T4,ISCED97_0,PT,,11.2
2016,_L_RW_040201_1,,F,Y0T4,ISCED97_0,PT,,7.8
2020,_L_RW_040201_1,,F,Y0T4,ISCED97_0,PT,,12.3
2016,_L_RW_040201_2,,,Y0T4,ISCED97_0,PT,,92.3
2020,_L_RW_040201_2,,,Y0T4,ISCED97_0,PT,,95.4
2016,_L_RW_040201_2,,M,Y0T4,ISCED97_0,PT,,92.4
2020,_L_RW_040201_2,,M,Y0T4,ISCED97_0,PT,,95.3
2016,_L_RW_040201_2,,F,Y0T4,ISCED97_0,PT,,92.2
2020,_L_RW_040201_2,,F,Y0T4,ISCED97_0,PT,,95.8
2016,_L_RW_040201_3,,,Y0T4,ISCED97_0,PT,,73.1
2020,_L_RW_040201_3,,,Y0T4,ISCED97_0,PT,,94.4
2016,_L_RW_040201_3,,M,Y0T4,ISCED97_0,PT,,72.9
2020,_L_RW_040201_3,,M,Y0T4,ISCED97_0,PT,,93.2
2016,_L_RW_040201_3,,F,Y0T4,ISCED97_0,PT,,73.3
2020,_L_RW_040201_3,,F,Y0T4,ISCED97_0,PT,,95.8
2016,_L_RW_040201_4,,,Y0T4,ISCED97_0,PT,,85.7
2020,_L_RW_040201_4,,,Y0T4,ISCED97_0,PT,,76.0
