Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,GeoCode,Value
2017,SE_PRE_PARTN,,,ISCED97_0,,47.0
2018,SE_PRE_PARTN,,,ISCED97_0,,52.6
2019,SE_PRE_PARTN,,,ISCED97_0,,57.1
2017,SE_PRE_PARTN,,M,ISCED97_0,,46.8
2018,SE_PRE_PARTN,,M,ISCED97_0,,46.8
2019,SE_PRE_PARTN,,M,ISCED97_0,,52.0
2020,SE_PRE_PARTN,,M,ISCED97_0,,56.4
2021,SE_PRE_PARTN,,M,ISCED97_0,,71.1
2022,SE_PRE_PARTN,,M,ISCED97_0,,83.4
2017,SE_PRE_PARTN,,F,ISCED97_0,,47.4
2018,SE_PRE_PARTN,,F,ISCED97_0,,47.4
2019,SE_PRE_PARTN,,F,ISCED97_0,,53.1
2020,SE_PRE_PARTN,,F,ISCED97_0,,57.9
2021,SE_PRE_PARTN,,F,ISCED97_0,,73.3
2022,SE_PRE_PARTN,,F,ISCED97_0,,85.4
