Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2017,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,,Y_GE16,PT,,42.7
2018,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,,Y_GE16,PT,,32.3
2019,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,,Y_GE16,PT,,35.8
2021,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,,Y_GE16,PT,,38.1
2022,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,,Y_GE16,PT,,38.6
2017,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,42.8
2018,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,32.6
2019,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,35.7
2021,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,37.6
2022,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,38.6
2017,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,42.6
2018,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,32.0
2019,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,35.9
2021,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,38.5
2022,A,0,_X,Participation rate in formal and non-formal education and training,A,N,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,38.5
