Year,COMMENT_OBS,Series,URBANISATION,Value
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,SE_ADT_ACTS,,4.6
2020,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,SE_ADT_ACTS,,5.2
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,SE_ADT_ACTS,,5.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,SE_ADT_ACTS,U,12.6
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,SE_ADT_ACTS,U,13.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,SE_ADT_ACTS,R,2.3
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Copying (Moving) a file or a folder,SE_ADT_ACTS,R,2.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,_L_RW_040401_1,,4.3
2020,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,_L_RW_040401_1,,7.3
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,_L_RW_040401_1,,5.5
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,_L_RW_040401_1,U,11.7
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,_L_RW_040401_1,U,12.9
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,_L_RW_040401_1,R,2.2
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Using Copy and Paste,_L_RW_040401_1,R,2.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Sending e-mails with attached files,_L_RW_040401_2,,2.8
2020,Proportion of youth and adults with information and communications technology (ICT) skills - Sending e-mails with attached files,_L_RW_040401_2,,3.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Sending e-mails with attached files,_L_RW_040401_2,,4.4
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Sending e-mails with attached files,_L_RW_040401_2,U,8.6
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Sending e-mails with attached files,_L_RW_040401_2,U,10.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Sending e-mails with attached files,_L_RW_040401_2,R,1.2
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Sending e-mails with attached files,_L_RW_040401_2,R,1.9
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Using basic arithmetic formulae in a spreadsheet,_L_RW_040401_3,,2.6
2020,Proportion of youth and adults with information and communications technology (ICT) skills - Using basic arithmetic formulae in a spreadsheet,_L_RW_040401_3,,3.6
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Using basic arithmetic formulae in a spreadsheet,_L_RW_040401_3,,4.4
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Using basic arithmetic formulae in a spreadsheet,_L_RW_040401_3,U,7.5
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Using basic arithmetic formulae in a spreadsheet,_L_RW_040401_3,U,10.3
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Using basic arithmetic formulae in a spreadsheet,_L_RW_040401_3,R,1.2
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Using basic arithmetic formulae in a spreadsheet,_L_RW_040401_3,R,2.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Connecting and installing new devices,_L_RW_040401_4,,2.6
2020,Proportion of youth and adults with information and communications technology (ICT) skills - Connecting and installing new devices,_L_RW_040401_4,,4.0
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Connecting and installing new devices,_L_RW_040401_4,,4.5
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Connecting and installing new devices,_L_RW_040401_4,U,7.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Connecting and installing new devices,_L_RW_040401_4,U,11.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Connecting and installing new devices,_L_RW_040401_4,R,1.1
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Connecting and installing new devices,_L_RW_040401_4,R,1.9
2017,"Proportion of youth and adults with information and communications technology (ICT) skills - Finding, downloading installing and configuring software",_L_RW_040401_5,,1.6
2020,"Proportion of youth and adults with information and communications technology (ICT) skills - Finding, downloading installing and configuring software",_L_RW_040401_5,,2.3
2024,"Proportion of youth and adults with information and communications technology (ICT) skills - Finding, downloading installing and configuring software",_L_RW_040401_5,,3.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills - Finding, downloading installing and configuring software",_L_RW_040401_5,U,5.1
2024,"Proportion of youth and adults with information and communications technology (ICT) skills - Finding, downloading installing and configuring software",_L_RW_040401_5,U,8.1
2017,"Proportion of youth and adults with information and communications technology (ICT) skills - Finding, downloading installing and configuring software",_L_RW_040401_5,R,0.6
2024,"Proportion of youth and adults with information and communications technology (ICT) skills - Finding, downloading installing and configuring software",_L_RW_040401_5,R,1.4
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Creating electronic presentations with presentation software,_L_RW_040401_6,,0.9
2020,Proportion of youth and adults with information and communications technology (ICT) skills - Creating electronic presentations with presentation software,_L_RW_040401_6,,1.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Creating electronic presentations with presentation software,_L_RW_040401_6,,2.5
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Creating electronic presentations with presentation software,_L_RW_040401_6,U,2.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Creating electronic presentations with presentation software,_L_RW_040401_6,U,6.3
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Creating electronic presentations with presentation software,_L_RW_040401_6,R,0.4
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Creating electronic presentations with presentation software,_L_RW_040401_6,R,0.9
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Transferring files between a computer and other devices,_L_RW_040401_7,,1.8
2020,Proportion of youth and adults with information and communications technology (ICT) skills - Transferring files between a computer and other devices,_L_RW_040401_7,,3.3
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Transferring files between a computer and other devices,_L_RW_040401_7,,4.6
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Transferring files between a computer and other devices,_L_RW_040401_7,U,5.4
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Transferring files between a computer and other devices,_L_RW_040401_7,U,11.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills - Transferring files between a computer and other devices,_L_RW_040401_7,R,0.8
2024,Proportion of youth and adults with information and communications technology (ICT) skills - Transferring files between a computer and other devices,_L_RW_040401_7,R,2.0
2017,Proportion of youth and adults with information and communications technology (ICT) skills  - Writing a computer program using a specialized programming language,_L_RW_040401_8,,1.8
2020,Proportion of youth and adults with information and communications technology (ICT) skills  - Writing a computer program using a specialized programming language,_L_RW_040401_8,,0.9
2024,Proportion of youth and adults with information and communications technology (ICT) skills  - Writing a computer program using a specialized programming language,_L_RW_040401_8,,1.3
2017,Proportion of youth and adults with information and communications technology (ICT) skills  - Writing a computer program using a specialized programming language,_L_RW_040401_8,U,5.4
2024,Proportion of youth and adults with information and communications technology (ICT) skills  - Writing a computer program using a specialized programming language,_L_RW_040401_8,U,3.2
