Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate","EICV, NISR",_L_RW_040501_1,,,,ISCED11_1,IX,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate","EICV, NISR",_L_RW_040501_1,,,,ISCED11_1,IX,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate","EICV, NISR",_L_RW_040501_1,,,U,ISCED11_1,IX,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate","EICV, NISR",_L_RW_040501_1,,,U,ISCED11_1,IX,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate","EICV, NISR",_L_RW_040501_1,,,R,ISCED11_1,IX,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate","EICV, NISR",_L_RW_040501_1,,,R,ISCED11_1,IX,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate","EICV, NISR",_L_RW_040501_2,,,,ISCED11_1,IX,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate","EICV, NISR",_L_RW_040501_2,,,,ISCED11_1,IX,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate","EICV, NISR",_L_RW_040501_2,,,U,ISCED11_1,IX,,0.9
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate","EICV, NISR",_L_RW_040501_2,,,U,ISCED11_1,IX,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate","EICV, NISR",_L_RW_040501_2,,,R,ISCED11_1,IX,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate","EICV, NISR",_L_RW_040501_2,,,R,ISCED11_1,IX,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate","EICV, NISR",_L_RW_040501_3,,,,ISCED11_1,IX,,0.9
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate","EICV, NISR",_L_RW_040501_3,,,,ISCED11_1,IX,,0.8
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate","EICV, NISR",_L_RW_040501_3,,,U,ISCED11_1,IX,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate","EICV, NISR",_L_RW_040501_3,,,U,ISCED11_1,IX,,0.8
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate","EICV, NISR",_L_RW_040501_3,,,R,ISCED11_1,IX,,0.9
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate","EICV, NISR",_L_RW_040501_3,,,R,ISCED11_1,IX,,0.7
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate","EICV, NISR",_L_RW_040501_4,,,,ISCED11_1,IX,,1.1
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate","EICV, NISR",_L_RW_040501_4,,,,ISCED11_1,IX,,1.1
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate","EICV, NISR",_L_RW_040501_4,,,U,ISCED11_1,IX,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate","EICV, NISR",_L_RW_040501_4,,,U,ISCED11_1,IX,,1.1
2017,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate","EICV, NISR",_L_RW_040501_4,,,R,ISCED11_1,IX,,1.1
2024,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate","EICV, NISR",_L_RW_040501_4,,,R,ISCED11_1,IX,,1.1
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate","EICV, NISR",_L_RW_040501_5,,,,AGG_2_3,IX,,1.2
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate","EICV, NISR",_L_RW_040501_5,,,,AGG_2_3,IX,,1.3
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate","EICV, NISR",_L_RW_040501_5,,,U,AGG_2_3,IX,,1.0
