Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2016,SE_TRA_GRDL,,,ISCED11_02,PT,,52.7
2017,SE_TRA_GRDL,,,ISCED11_02,PT,,41.6
2018,SE_TRA_GRDL,,,ISCED11_02,PT,,45.6
2019,SE_TRA_GRDL,,,ISCED11_02,PT,,49.5
2020,SE_TRA_GRDL,,,ISCED11_02,PT,,43.5
2021,SE_TRA_GRDL,,,ISCED11_02,PT,,52.4
2024,SE_TRA_GRDL,,,ISCED11_02,PT,,52.6
2016,SE_TRA_GRDL,,M,ISCED11_02,PT,,55.7
2017,SE_TRA_GRDL,,M,ISCED11_02,PT,,41.3
2018,SE_TRA_GRDL,,M,ISCED11_02,PT,,45.0
2019,SE_TRA_GRDL,,M,ISCED11_02,PT,,52.0
2020,SE_TRA_GRDL,,M,ISCED11_02,PT,,48.6
2021,SE_TRA_GRDL,,M,ISCED11_02,PT,,49.7
2024,SE_TRA_GRDL,,M,ISCED11_02,PT,,50.2
2016,SE_TRA_GRDL,,F,ISCED11_02,PT,,49.2
2017,SE_TRA_GRDL,,F,ISCED11_02,PT,,41.6
2018,SE_TRA_GRDL,,F,ISCED11_02,PT,,45.7
2019,SE_TRA_GRDL,,F,ISCED11_02,PT,,49.1
2020,SE_TRA_GRDL,,F,ISCED11_02,PT,,42.7
2021,SE_TRA_GRDL,,F,ISCED11_02,PT,,53.2
2024,SE_TRA_GRDL,,F,ISCED11_02,PT,,53.1
2016,SE_TRA_GRDL,,,ISCED11_1,PT,,92.5
2017,SE_TRA_GRDL,,,ISCED11_1,PT,,93.3
2018,SE_TRA_GRDL,,,ISCED11_1,PT,,94.4
2019,SE_TRA_GRDL,,,ISCED11_1,PT,,95.1
2020,SE_TRA_GRDL,,,ISCED11_1,PT,,76.1
2021,SE_TRA_GRDL,,,ISCED11_1,PT,,76.1
2024,SE_TRA_GRDL,,,ISCED11_1,PT,,67.6
2016,SE_TRA_GRDL,,M,ISCED11_1,PT,,91.6
2017,SE_TRA_GRDL,,M,ISCED11_1,PT,,92.0
2018,SE_TRA_GRDL,,M,ISCED11_1,PT,,93.3
2019,SE_TRA_GRDL,,M,ISCED11_1,PT,,94.1
2020,SE_TRA_GRDL,,M,ISCED11_1,PT,,74.9
2021,SE_TRA_GRDL,,M,ISCED11_1,PT,,74.9
2024,SE_TRA_GRDL,,M,ISCED11_1,PT,,50.0
2016,SE_TRA_GRDL,,F,ISCED11_1,PT,,93.3
2017,SE_TRA_GRDL,,F,ISCED11_1,PT,,94.4
2018,SE_TRA_GRDL,,F,ISCED11_1,PT,,95.3
2019,SE_TRA_GRDL,,F,ISCED11_1,PT,,95.9
2020,SE_TRA_GRDL,,F,ISCED11_1,PT,,77.0
2021,SE_TRA_GRDL,,F,ISCED11_1,PT,,76.9
2024,SE_TRA_GRDL,,F,ISCED11_1,PT,,69.3
2016,SE_TRA_GRDL,,,AGG_2_3,PT,,53.3
2017,SE_TRA_GRDL,,,AGG_2_3,PT,,64.5
2018,SE_TRA_GRDL,,,AGG_2_3,PT,,67.7
2019,SE_TRA_GRDL,,,AGG_2_3,PT,,72.3
2020,SE_TRA_GRDL,,,AGG_2_3,PT,,87.1
2021,SE_TRA_GRDL,,,AGG_2_3,PT,,85.4
2024,SE_TRA_GRDL,,,AGG_2_3,PT,,78.0
2016,SE_TRA_GRDL,,M,AGG_2_3,PT,,55.3
2017,SE_TRA_GRDL,,M,AGG_2_3,PT,,64.4
2018,SE_TRA_GRDL,,M,AGG_2_3,PT,,67.5
2019,SE_TRA_GRDL,,M,AGG_2_3,PT,,72.2
2020,SE_TRA_GRDL,,M,AGG_2_3,PT,,86.3
2021,SE_TRA_GRDL,,M,AGG_2_3,PT,,85.0
2024,SE_TRA_GRDL,,M,AGG_2_3,PT,,76.6
2016,SE_TRA_GRDL,,F,AGG_2_3,PT,,48.9
2017,SE_TRA_GRDL,,F,AGG_2_3,PT,,64.8
2018,SE_TRA_GRDL,,F,AGG_2_3,PT,,68.2
2019,SE_TRA_GRDL,,F,AGG_2_3,PT,,72.7
2020,SE_TRA_GRDL,,F,AGG_2_3,PT,,88.6
2021,SE_TRA_GRDL,,F,AGG_2_3,PT,,86.3
2024,SE_TRA_GRDL,,F,AGG_2_3,PT,,80.6
