Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2017,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,,PT,,36.7
2020,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,,PT,,54.8
2022,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,,PT,,58.6
2024,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,,PT,,85.0
2017,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,U,PT,,63.0
2020,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,U,PT,,61.6
2022,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,U,PT,,77.6
2024,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,U,PT,,94.0
2017,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,R,PT,,30.5
2020,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,R,PT,,47.9
2022,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,R,PT,,50.9
2024,A,0,_X,Proportion of individuals who own a mobile telephone (Population 16 years and above),A,N,IT_MOB_OWN,,R,PT,,80.6
