Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2010,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2011,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2012,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2013,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2014,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2015,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2016,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2017,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2018,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2019,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2020,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2021,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2022,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2023,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
2024,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,MINALOC,ER_H20_LCMGM,,PT,,1
