Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2016,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,,PT,,18.8
2017,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,,PT,,17.3
2018,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,,PT,,15.1
2019,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,,PT,,15.2
2020,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,,PT,,17.9
2021,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,,PT,,20.9
2022,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,,PT,,20.5
2023,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,,PT,,17.2
2024,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,,PT,,14.9
2016,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,M,PT,,15.7
2017,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,M,PT,,15.6
2018,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,M,PT,,13.5
2019,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,M,PT,,13.8
2020,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,M,PT,,15.9
2021,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,M,PT,,18.5
2022,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,M,PT,,17.9
2023,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,M,PT,,14.5
2024,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,M,PT,,12.6
2016,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,F,PT,,22.7
2017,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,F,PT,,19.2
2018,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,F,PT,,17.1
2019,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,F,PT,,17.0
2020,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,F,PT,,20.3
2021,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,F,PT,,18.5
2022,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,F,PT,,23.7
2023,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,F,PT,,20.3
2024,A,0,_X,Unemployment rate,A,N,SL_TLF_UEM,,F,PT,,17.6
2016,A,0,_X,"Unemployment rate, by disability",A,N,SL_TLF_UEMDIS,,,PT,,20.8
2017,A,0,_X,"Unemployment rate, by disability",A,N,SL_TLF_UEMDIS,,,PT,,17.4
2018,A,0,_X,"Unemployment rate, by disability",A,N,SL_TLF_UEMDIS,,,PT,,14.1
2019,A,0,_X,"Unemployment rate, by disability",A,N,SL_TLF_UEMDIS,,,PT,,14.3
2021,A,0,_X,"Unemployment rate, by disability",A,N,SL_TLF_UEMDIS,,,PT,,21.1
2022,A,0,_X,"Unemployment rate, by disability",A,N,SL_TLF_UEMDIS,,,PT,,16.4
2023,A,0,_X,"Unemployment rate, by disability",A,N,SL_TLF_UEMDIS,,,PT,,18.9
2024,A,0,_X,"Unemployment rate, by disability",A,N,SL_TLF_UEMDIS,,,PT,,14.9
