Year,SERIES,REF_AREA,AGE,GeoCode,Value
2017,_L_RW_080601_1,,Y16T24,,31.8
2018,_L_RW_080601_1,,Y16T24,,30.7
2019,_L_RW_080601_1,,Y16T24,,32.5
2021,_L_RW_080601_1,,Y16T24,,32.8
2022,_L_RW_080601_1,,Y16T24,,32.1
2023,_L_RW_080601_1,,Y16T24,,31.9
2024,_L_RW_080601_1,,Y16T24,,26.8
2017,_L_RW_080601_2,,Y16T30,,34.6
2018,_L_RW_080601_2,,Y16T30,,32.7
2019,_L_RW_080601_2,,Y16T30,,34.3
2021,_L_RW_080601_2,,Y16T30,,35.6
2022,_L_RW_080601_2,,Y16T30,,34.2
2023,_L_RW_080601_2,,Y16T30,,32.9
2024,_L_RW_080601_2,,Y16T30,,28.4
