Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2005,SI_POV_NMPI,,,IX,,0.443
2010,SI_POV_NMPI,,,IX,,0.35
2011,SI_POV_NMPI,,,IX,,0.24
2012,SI_POV_NMPI,,,IX,,0.167
2014,SI_POV_NMPI,,,IX,,0.17
2017,SI_POV_NMPI,,,IX,,0.15
2022,SI_POV_NMPI,,,IX,,0.129
2024,SI_POV_NMPI,,,IX,,0.136
2011,SI_POV_NMPI,,U,IX,,0.09
2012,SI_POV_NMPI,,U,IX,,0.065
2014,SI_POV_NMPI,,U,IX,,0.07
2017,SI_POV_NMPI,,U,IX,,0.07
2022,SI_POV_NMPI,,U,IX,,0.056
2024,SI_POV_NMPI,,U,IX,,0.065
2011,SI_POV_NMPI,,R,IX,,0.27
2012,SI_POV_NMPI,,R,IX,,0.187
2014,SI_POV_NMPI,,R,IX,,0.19
2017,SI_POV_NMPI,,R,IX,,0.17
2022,SI_POV_NMPI,,R,IX,,0.159
2024,SI_POV_NMPI,,R,IX,,0.164
2011,SI_POV_NMPI,1,,IX,1,0.12
2012,SI_POV_NMPI,1,,IX,1,0.064
2014,SI_POV_NMPI,1,,IX,1,0.07
2017,SI_POV_NMPI,1,,IX,1,0.07
2022,SI_POV_NMPI,1,,IX,1,0.04
2024,SI_POV_NMPI,1,,IX,1,0.053
2011,SI_POV_NMPI,2,,IX,2,0.29
2012,SI_POV_NMPI,2,,IX,2,0.171
2014,SI_POV_NMPI,2,,IX,2,0.21
2017,SI_POV_NMPI,2,,IX,2,0.19
2022,SI_POV_NMPI,2,,IX,2,0.149
2024,SI_POV_NMPI,2,,IX,2,0.158
2011,SI_POV_NMPI,3,,IX,3,0.25
2012,SI_POV_NMPI,3,,IX,3,0.189
2014,SI_POV_NMPI,3,,IX,3,0.19
2017,SI_POV_NMPI,3,,IX,3,0.16
2022,SI_POV_NMPI,3,,IX,3,0.15
2024,SI_POV_NMPI,3,,IX,3,0.149
2011,SI_POV_NMPI,4,,IX,4,0.18
2012,SI_POV_NMPI,4,,IX,4,0.161
2014,SI_POV_NMPI,4,,IX,4,0.14
2017,SI_POV_NMPI,4,,IX,4,0.11
2022,SI_POV_NMPI,4,,IX,4,0.122
2024,SI_POV_NMPI,4,,IX,4,0.123
2011,SI_POV_NMPI,5,,IX,5,0.26
2012,SI_POV_NMPI,5,,IX,5,0.192
2014,SI_POV_NMPI,5,,IX,5,0.18
2017,SI_POV_NMPI,5,,IX,5,0.17
2022,SI_POV_NMPI,5,,IX,5,0.15
2024,SI_POV_NMPI,5,,IX,5,0.157
